Year,Month,Value
2000,1,3.32
2000,2,3.2
2000,3,3.5
2000,4,3.46
2000,5,3.32
2000,6,2.43
2000,7,2.05
2000,8,2.44
2000,9,2.49
2000,10,1.96
2000,11,2.61
2000,12,2.72
2001,1,2.88
2001,2,3.51
2001,3,3.26
2001,4,3.16
2001,5,2.96
2001,6,3.18
2001,7,3.24
2001,8,2.69
2001,9,2.22
2001,10,2.24
2001,11,2.36
2001,12,3.45
2002,1,3.41
2002,2,3.64
2002,3,3.93
2002,4,3.34
2002,5,3.15
2002,6,3.48
2002,7,3.47
2002,8,2.7
2002,9,2.52
2002,10,3.21
2002,11,3.07
2002,12,3.02
2003,1,4.28
2003,2,3.72
2003,3,3.94
2003,4,3.87
2003,5,3.8
2003,6,3.75
2003,7,3.05
2003,8,3.57
2003,9,3.73
2003,10,3.27
2003,11,3.95
2003,12,3.53
2004,1,3.99
2004,2,4.2
2004,3,4.64
2004,4,4.14
2004,5,4.34
2004,6,4.31
2004,7,3.48
2004,8,3.28
2004,9,3.54
2004,10,3.34
2004,11,3.55
2004,12,3.67
2005,1,4.29
2005,2,4.84
2005,3,4.62
2005,4,4.76
2005,5,4.09
2005,6,3.93
2005,7,4.46
2005,8,3.97
2005,9,3.9
2005,10,4.31
2005,11,3.75
2005,12,4.12
2006,1,4.92
2006,2,4.42
2006,3,4.56
2006,4,5.21
2006,5,5.09
2006,6,4.16
2006,7,4.06
2006,8,4.52
2006,9,4.21
2006,10,4.37
2006,11,3.8
2006,12,4.74
2007,1,4.84
2007,2,5.32
2007,3,4.65
2007,4,5.35
2007,5,4.51
2007,6,4.57
2007,7,4.74
2007,8,4.55
2007,9,4.07
2007,10,4.37
2007,11,4.6
2007,12,4.21
2008,1,4.51
2008,2,6.03
2008,3,6.26
2008,4,5.37
2008,5,5.07
2008,6,5.75
2008,7,4.65
2008,8,3.16
2008,9,3.47
2008,10,3.66
2008,11,4.31
2008,12,4.11
2009,1,4.51
2009,2,4.04
2009,3,4.67
2009,4,5.5
2009,5,5.14
2009,6,4.7
2009,7,5.16
2009,8,3.71
2009,9,3.15
2009,10,3.22
2009,11,3.79
2009,12,3.98
2010,1,4.55
2010,2,5
2010,3,5.27
2010,4,4.48
2010,5,5.11
2010,6,4.02
2010,7,4.09
2010,8,3.73
2010,9,4.06
2010,10,3.98
2010,11,4.53
2010,12,4.06
2011,1,4.52
2011,2,5.13
2011,3,4.4
2011,4,4.41
2011,5,4.6
2011,6,4.71
2011,7,3.97
2011,8,4.01
2011,9,4.19
2011,10,3.8
2011,11,4.39
2011,12,4.61
2012,1,4.5
2012,2,4.18
2012,3,3.97
2012,4,4.44
2012,5,4.38
2012,6,4.39
2012,7,3.35
2012,8,3.46
2012,9,3.75
2012,10,3.55
2012,11,3.95
2012,12,3.72
2013,1,4.28
2013,2,4.35
2013,3,4.1
2013,4,3.69
2013,5,3.68
2013,6,3.34
2013,7,3.52
2013,8,3.34
2013,9,3.43
2013,10,3.49
2013,11,3.11
2013,12,3.43
2014,1,3.47
2014,2,4.15
2014,3,4.24
2014,4,3.61
2014,5,3.29
2014,6,3.38
2014,7,2.94
2014,8,3.22
2014,9,3.23
2014,10,2.49
2014,11,2.69
2014,12,2.91
2015,1,3.04
2015,2,3.16
2015,3,3.21
2015,4,3.35
2015,5,2.96
2015,6,2.45
2015,7,2.77
2015,8,2.3
2015,9,2.65
2015,10,2.18
2015,11,2.27
2015,12,2.8
2016,1,2.91
2016,2,3.04
2016,3,3.35
2016,4,3.08
2016,5,2.86
2016,6,2.58
2016,7,2.62
2016,8,1.59
2016,9,1.53
2016,10,1.88
2016,11,1.89
2016,12,2.94
2017,1,2.26
2017,2,2.7
2017,3,2.69
2017,4,2.64
2017,5,2.38
2017,6,1.78
2017,7,1.85
2017,8,2.09
2017,9,1.7
2017,10,1.45
2017,11,1.73
2017,12,1.95
2018,1,2.35
2018,2,2.33
2018,3,2.19
2018,4,2.04
2018,5,1.81
2018,6,1.97
2018,7,1.2
2018,8,1.23
2018,9,1.66
2018,10,0.92
2018,11,1.24
2018,12,2.01
2019,1,2.11
2019,2,1.82
2019,3,2.23
2019,4,1.94
2019,5,2.01
2019,6,1.05
2019,7,1.59
2019,8,0.82
2019,9,1.18
2019,10,0.64
2019,11,1.35
2019,12,1.04
2020,1,2.37
2020,2,2.23
2020,3,1.46
2020,4,2.68
2020,5,1.9
2020,6,1.65
2020,7,1.62
2020,8,0.52
2020,9,1.44
2020,10,2.02
2020,11,0.99
2020,12,2.61
2021,1,1.65
2021,2,2.92
2021,3,1.66
2021,4,1.53
2021,5,1.83
2021,6,1.73
2021,7,1.17
2021,8,1.66
2021,9,1.05
2021,10,1.81
2021,11,1.17
2021,12,1.8
2022,1,3.61
2022,2,4.52
2022,3,4.95
2022,4,2.71
2022,5,2.11
2022,6,1.94
2022,7,3.18
2022,8,3.08
2022,9,3.02
2022,10,2.69
2022,11,1.56
2022,12,4.42
2023,1,5.09
2023,2,4.72
2023,3,2.64
2023,4,3.08
2023,5,4.24
2023,6,3.93
2023,7,3.61
2023,8,1.71
2023,9,1.14
2023,10,2.62
2023,11,2.19
2023,12,2.09
