Year,Month,Value
2000,1,1.75
2000,2,1.97
2000,3,1.95
2000,4,2.22
2000,5,1.85
2000,6,1.42
2000,7,1.79
2000,8,1.25
2000,9,0.97
2000,10,1.1
2000,11,1.35
2000,12,1.52
2001,1,2.13
2001,2,2.59
2001,3,2.79
2001,4,2.24
2001,5,2.36
2001,6,2.35
2001,7,1.56
2001,8,1.94
2001,9,1.57
2001,10,1.99
2001,11,1.86
2001,12,1.97
2002,1,2.77
2002,2,2.89
2002,3,2.76
2002,4,2.87
2002,5,2.91
2002,6,2.5
2002,7,2.35
2002,8,1.92
2002,9,2.01
2002,10,2.3
2002,11,2.16
2002,12,2.81
2003,1,3.21
2003,2,3.08
2003,3,3.05
2003,4,3.3
2003,5,3.22
2003,6,2.73
2003,7,2.49
2003,8,2.48
2003,9,2.18
2003,10,2.23
2003,11,2.89
2003,12,3.17
2004,1,3.72
2004,2,3.59
2004,3,3.74
2004,4,3.48
2004,5,3.05
2004,6,3.03
2004,7,2.74
2004,8,2.79
2004,9,2.38
2004,10,2.76
2004,11,3.04
2004,12,2.96
2005,1,3.83
2005,2,4.03
2005,3,3.59
2005,4,3.85
2005,5,3.31
2005,6,3.36
2005,7,3.3
2005,8,3.16
2005,9,3.06
2005,10,3.22
2005,11,3.36
2005,12,3.07
2006,1,3.8
2006,2,4.26
2006,3,3.93
2006,4,4.21
2006,5,4.15
2006,6,3.74
2006,7,3.22
2006,8,3.17
2006,9,2.92
2006,10,3
2006,11,3.62
2006,12,3.8
2007,1,4.17
2007,2,4.33
2007,3,4.24
2007,4,4.04
2007,5,3.95
2007,6,3.36
2007,7,3.41
2007,8,3.26
2007,9,3.43
2007,10,3.57
2007,11,3.14
2007,12,3.38
2008,1,4.18
2008,2,3.62
2008,3,4.51
2008,4,4.55
2008,5,4.61
2008,6,4.73
2008,7,2.92
2008,8,4.04
2008,9,3.32
2008,10,4.04
2008,11,4.56
2008,12,4.02
2009,1,4.12
2009,2,3.94
2009,3,4.5
2009,4,2.9
2009,5,4.55
2009,6,4.2
2009,7,3.34
2009,8,3.18
2009,9,3.38
2009,10,2.57
2009,11,4.26
2009,12,3.74
2010,1,3.63
2010,2,3.75
2010,3,3.67
2010,4,4.13
2010,5,3.96
2010,6,3.8
2010,7,3
2010,8,3.38
2010,9,3.29
2010,10,2.82
2010,11,3.29
2010,12,3.72
2011,1,3.5
2011,2,3.73
2011,3,3.82
2011,4,3.75
2011,5,3.53
2011,6,3.17
2011,7,2.79
2011,8,2.78
2011,9,2.6
2011,10,2.8
2011,11,3.18
2011,12,3.46
2012,1,3.12
2012,2,3.43
2012,3,3.66
2012,4,3.79
2012,5,3.59
2012,6,2.77
2012,7,2.79
2012,8,2.36
2012,9,2.39
2012,10,2.77
2012,11,2.84
2012,12,2.81
2013,1,2.86
2013,2,2.9
2013,3,3.53
2013,4,3.01
2013,5,2.83
2013,6,2.97
2013,7,2.82
2013,8,2.24
2013,9,2.3
2013,10,2.05
2013,11,2.77
2013,12,2.79
2014,1,2.46
2014,2,2.69
2014,3,3.2
2014,4,2.78
2014,5,2.65
2014,6,2.67
2014,7,1.8
2014,8,1.94
2014,9,2.19
2014,10,1.84
2014,11,1.81
2014,12,2.49
2015,1,2.29
2015,2,2.44
2015,3,2.79
2015,4,2.1
2015,5,2.39
2015,6,1.88
2015,7,1.63
2015,8,1.25
2015,9,1.64
2015,10,1.59
2015,11,1.87
2015,12,2.31
2016,1,1.91
2016,2,1.99
2016,3,2.38
2016,4,1.72
2016,5,1.96
2016,6,1.39
2016,7,1.23
2016,8,1.2
2016,9,1.04
2016,10,0.98
2016,11,1.12
2016,12,1.64
2017,1,1.5
2017,2,1.61
2017,3,1.97
2017,4,1.55
2017,5,1.5
2017,6,1.11
2017,7,1.18
2017,8,0.57
2017,9,0.38
2017,10,0.47
2017,11,0.59
2017,12,1.03
2018,1,1.27
2018,2,1.34
2018,3,1.12
2018,4,1.03
2018,5,1.35
2018,6,0.74
2018,7,0.22
2018,8,0.49
2018,9,0.5
2018,10,0.1
2018,11,0.56
2018,12,0.85
2019,1,0.94
2019,2,0.58
2019,3,1.12
2019,4,1.06
2019,5,0.47
2019,6,0.28
2019,7,0.13
2019,8,0.16
2019,9,0.1
2019,10,0.31
2019,11,0.1
2019,12,0.73
2020,1,1.67
2020,2,0.86
2020,3,0.66
2020,4,1.39
2020,5,1.07
2020,6,0.46
2020,7,0.21
2020,8,0.96
2020,9,1.11
2020,10,0.31
2020,11,0.17
2020,12,0.37
2021,1,1.05
2021,2,0.85
2021,3,0.52
2021,4,1.34
2021,5,0.32
2021,6,0.27
2021,7,0.22
2021,8,0.33
2021,9,0.56
2021,10,0.1
2021,11,0.1
2021,12,1.49
2022,1,3.7
2022,2,1.72
2022,3,2.48
2022,4,3.57
2022,5,2.93
2022,6,3.57
2022,7,1.18
2022,8,1.33
2022,9,2.46
2022,10,1.03
2022,11,1.39
2022,12,1.08
2023,1,2.38
2023,2,1.04
2023,3,2.15
2023,4,2.25
2023,5,2.4
2023,6,3.69
2023,7,0.64
2023,8,2.32
2023,9,1.11
2023,10,1.64
2023,11,1.7
2023,12,3
