Year,Month,Value
2000,1,1.68
2000,2,2.33
2000,3,1.92
2000,4,1.99
2000,5,2.11
2000,6,1.89
2000,7,1.56
2000,8,1.52
2000,9,1.66
2000,10,1.38
2000,11,1.37
2000,12,1.71
2001,1,2.31
2001,2,2.53
2001,3,2.35
2001,4,2.66
2001,5,2.4
2001,6,1.8
2001,7,1.55
2001,8,2.14
2001,9,1.85
2001,10,2.15
2001,11,2.09
2001,12,2.42
2002,1,2.96
2002,2,3.08
2002,3,2.68
2002,4,2.69
2002,5,2.72
2002,6,2.41
2002,7,2.22
2002,8,2.25
2002,9,2.43
2002,10,2
2002,11,2.13
2002,12,2.48
2003,1,3.3
2003,2,3.5
2003,3,3.09
2003,4,3.29
2003,5,3.39
2003,6,2.63
2003,7,2.95
2003,8,2.7
2003,9,2.51
2003,10,2.22
2003,11,2.43
2003,12,3.1
2004,1,3.83
2004,2,4.06
2004,3,3.77
2004,4,3.45
2004,5,3.7
2004,6,2.99
2004,7,3.22
2004,8,3.16
2004,9,2.69
2004,10,2.89
2004,11,3.25
2004,12,2.95
2005,1,4.03
2005,2,3.78
2005,3,4.35
2005,4,4.19
2005,5,4.09
2005,6,3.46
2005,7,3.57
2005,8,2.88
2005,9,3.23
2005,10,3.31
2005,11,3.5
2005,12,3.51
2006,1,4.04
2006,2,3.8
2006,3,4.08
2006,4,3.85
2006,5,4.18
2006,6,3.67
2006,7,3.33
2006,8,2.91
2006,9,3.36
2006,10,3.45
2006,11,3.1
2006,12,3.3
2007,1,3.65
2007,2,4.59
2007,3,4.17
2007,4,4.31
2007,5,4.36
2007,6,3.84
2007,7,3.82
2007,8,3.16
2007,9,3.38
2007,10,3.03
2007,11,3.69
2007,12,3.61
2008,1,3.75
2008,2,3.85
2008,3,4.81
2008,4,4.29
2008,5,3.98
2008,6,3.87
2008,7,4.14
2008,8,2.37
2008,9,4.54
2008,10,3.89
2008,11,3.19
2008,12,4.23
2009,1,4.22
2009,2,4.92
2009,3,3.55
2009,4,3.77
2009,5,3.58
2009,6,4.43
2009,7,4.21
2009,8,2.71
2009,9,4.33
2009,10,2.77
2009,11,2.5
2009,12,3.57
2010,1,3.86
2010,2,3.84
2010,3,3.9
2010,4,4.27
2010,5,4.02
2010,6,3.31
2010,7,3.68
2010,8,3.18
2010,9,3.47
2010,10,2.79
2010,11,3.5
2010,12,3.65
2011,1,3.97
2011,2,3.62
2011,3,4.25
2011,4,4.14
2011,5,3.88
2011,6,3.26
2011,7,3.48
2011,8,2.87
2011,9,3.03
2011,10,3.28
2011,11,2.79
2011,12,3.33
2012,1,3.8
2012,2,3.77
2012,3,3.45
2012,4,3.29
2012,5,3.37
2012,6,3.06
2012,7,2.75
2012,8,2.75
2012,9,2.83
2012,10,2.74
2012,11,2.73
2012,12,3.02
2013,1,3.18
2013,2,3.41
2013,3,3.23
2013,4,3.62
2013,5,2.7
2013,6,2.94
2013,7,2.84
2013,8,2.37
2013,9,2.22
2013,10,2.05
2013,11,2.44
2013,12,2.71
2014,1,2.56
2014,2,3.13
2014,3,3.29
2014,4,2.91
2014,5,2.53
2014,6,2.2
2014,7,1.9
2014,8,2.32
2014,9,1.61
2014,10,2.18
2014,11,1.94
2014,12,2.57
2015,1,2.23
2015,2,2.12
2015,3,2.97
2015,4,2.68
2015,5,2.13
2015,6,2.26
2015,7,2.16
2015,8,1.87
2015,9,1.91
2015,10,1.26
2015,11,1.74
2015,12,2.19
2016,1,1.7
2016,2,2.26
2016,3,2.17
2016,4,2.21
2016,5,1.7
2016,6,1.51
2016,7,1.23
2016,8,0.86
2016,9,0.79
2016,10,1.12
2016,11,1.05
2016,12,1.9
2017,1,1.78
2017,2,1.97
2017,3,1.39
2017,4,2.02
2017,5,1.84
2017,6,1.18
2017,7,1.28
2017,8,0.61
2017,9,0.99
2017,10,1.09
2017,11,0.73
2017,12,1.25
2018,1,1.04
2018,2,1.33
2018,3,1.8
2018,4,1.36
2018,5,1.56
2018,6,0.85
2018,7,0.77
2018,8,0.21
2018,9,0.44
2018,10,0.33
2018,11,0.84
2018,12,0.94
2019,1,0.93
2019,2,0.92
2019,3,0.79
2019,4,0.79
2019,5,1.14
2019,6,0.47
2019,7,0.29
2019,8,0.1
2019,9,0.1
2019,10,0.1
2019,11,0.1
2019,12,0.84
2020,1,1.38
2020,2,1.94
2020,3,1.93
2020,4,2.09
2020,5,0.93
2020,6,1.13
2020,7,1.05
2020,8,1.59
2020,9,0.1
2020,10,0.87
2020,11,0.6
2020,12,1.11
2021,1,0.73
2021,2,1.65
2021,3,1.21
2021,4,1.23
2021,5,1.67
2021,6,1.9
2021,7,0.6
2021,8,0.25
2021,9,0.1
2021,10,0.1
2021,11,0.1
2021,12,0.76
2022,1,1.37
2022,2,1.8
2022,3,1.79
2022,4,1.93
2022,5,1.39
2022,6,1.26
2022,7,3.46
2022,8,0.66
2022,9,0.59
2022,10,1.61
2022,11,2.44
2022,12,0.88
2023,1,3.05
2023,2,3.55
2023,3,2.91
2023,4,4.45
2023,5,2.53
2023,6,4.09
2023,7,2.03
2023,8,1.74
2023,9,1.54
2023,10,2.16
2023,11,1.01
2023,12,2.4
