Year,Month,Value
2000,1,7.14
2000,2,7.04
2000,3,6.84
2000,4,6.76
2000,5,5.5
2000,6,6.95
2000,7,5.28
2000,8,7.07
2000,9,5.69
2000,10,5.63
2000,11,5.67
2000,12,5.82
2001,1,8.09
2001,2,6.53
2001,3,7.63
2001,4,8.12
2001,5,7.43
2001,6,6.58
2001,7,6.42
2001,8,6.65
2001,9,5.67
2001,10,6.41
2001,11,6.66
2001,12,7.64
2002,1,6.8
2002,2,6.58
2002,3,8.26
2002,4,8.42
2002,5,6.46
2002,6,8.36
2002,7,6.38
2002,8,7.07
2002,9,7.96
2002,10,6.07
2002,11,6.36
2002,12,8.52
2003,1,8.66
2003,2,9.29
2003,3,8.8
2003,4,8.15
2003,5,8.22
2003,6,7.65
2003,7,8.21
2003,8,7.87
2003,9,7.01
2003,10,6.79
2003,11,6.59
2003,12,7.67
2004,1,7.41
2004,2,7.14
2004,3,8.04
2004,4,9.29
2004,5,7.96
2004,6,6.81
2004,7,8.64
2004,8,8.31
2004,9,7.19
2004,10,6.74
2004,11,7.71
2004,12,7.74
2005,1,7.82
2005,2,9.24
2005,3,8.6
2005,4,7.53
2005,5,7.57
2005,6,7.29
2005,7,8.38
2005,8,7.62
2005,9,7.88
2005,10,6.53
2005,11,7.34
2005,12,7.21
2006,1,7.59
2006,2,8.95
2006,3,8.39
2006,4,7.75
2006,5,9.33
2006,6,9.17
2006,7,7.21
2006,8,8.08
2006,9,7.38
2006,10,8.39
2006,11,6.9
2006,12,9.46
2007,1,9.7
2007,2,8.2
2007,3,8.45
2007,4,8.83
2007,5,7.57
2007,6,8.22
2007,7,8.32
2007,8,8.89
2007,9,7.35
2007,10,8.38
2007,11,8.39
2007,12,8.19
2008,1,7.77
2008,2,9.21
2008,3,8.5
2008,4,7.31
2008,5,8.56
2008,6,7.14
2008,7,6.56
2008,8,7.07
2008,9,9.69
2008,10,9.1
2008,11,9.28
2008,12,10.63
2009,1,9.64
2009,2,8.75
2009,3,7.91
2009,4,9.77
2009,5,7.36
2009,6,7.28
2009,7,8.68
2009,8,7.42
2009,9,6.28
2009,10,8.57
2009,11,7.81
2009,12,8.93
2010,1,8.25
2010,2,9.64
2010,3,7.84
2010,4,9.96
2010,5,8.11
2010,6,7.97
2010,7,9.19
2010,8,7.05
2010,9,8.33
2010,10,6.94
2010,11,9.14
2010,12,7.37
2011,1,7.13
2011,2,7.32
2011,3,9.32
2011,4,9.78
2011,5,7.41
2011,6,8.65
2011,7,8.09
2011,8,7.34
2011,9,6.89
2011,10,6.74
2011,11,7.84
2011,12,7.36
2012,1,8.09
2012,2,8.24
2012,3,8.64
2012,4,9.5
2012,5,7.57
2012,6,8.41
2012,7,7.57
2012,8,7.69
2012,9,8.02
2012,10,6.87
2012,11,7.77
2012,12,7.76
2013,1,6.97
2013,2,7.08
2013,3,9.22
2013,4,8.14
2013,5,8.19
2013,6,7.72
2013,7,6.69
2013,8,7.13
2013,9,5.84
2013,10,7.07
2013,11,6.48
2013,12,7.88
2014,1,6.78
2014,2,7.09
2014,3,7.95
2014,4,8.36
2014,5,6.22
2014,6,6.79
2014,7,7.73
2014,8,5.67
2014,9,6.15
2014,10,7.7
2014,11,6.74
2014,12,6.28
2015,1,6.75
2015,2,7.7
2015,3,8.16
2015,4,6.88
2015,5,5.79
2015,6,5.74
2015,7,7.31
2015,8,6.33
2015,9,6.96
2015,10,6.15
2015,11,7.48
2015,12,6.54
2016,1,5.59
2016,2,6.36
2016,3,7.91
2016,4,6.47
2016,5,5.92
2016,6,6.04
2016,7,6.83
2016,8,5.18
2016,9,6.7
2016,10,5.72
2016,11,6.69
2016,12,6.22
2017,1,5.63
2017,2,5.35
2017,3,7.62
2017,4,5.31
2017,5,6.17
2017,6,5.65
2017,7,4.5
2017,8,6.66
2017,9,6.22
2017,10,5.74
2017,11,5.08
2017,12,4.92
2018,1,6.13
2018,2,5.68
2018,3,7.24
2018,4,6.25
2018,5,5.1
2018,6,5.48
2018,7,6.6
2018,8,4.92
2018,9,5.19
2018,10,5.55
2018,11,6.42
2018,12,5.92
2019,1,5.06
2019,2,4.89
2019,3,5.4
2019,4,6.26
2019,5,5.65
2019,6,4.4
2019,7,5.25
2019,8,6.02
2019,9,4.22
2019,10,5.81
2019,11,4.19
2019,12,6.11
2020,1,5.23
2020,2,5.76
2020,3,6.92
2020,4,5.65
2020,5,6.06
2020,6,6.92
2020,7,5.28
2020,8,4.5
2020,9,6.21
2020,10,5
2020,11,5.18
2020,12,5.9
2021,1,4.58
2021,2,4.99
2021,3,6.79
2021,4,4.7
2021,5,6.57
2021,6,4.72
2021,7,6.44
2021,8,4.42
2021,9,4.94
2021,10,5.7
2021,11,4.67
2021,12,6.63
2022,1,7.33
2022,2,7.25
2022,3,8.36
2022,4,5.15
2022,5,6.78
2022,6,8.32
2022,7,7.2
2022,8,7.81
2022,9,7.94
2022,10,5.87
2022,11,5.67
2022,12,8.15
2023,1,7.61
2023,2,5.57
2023,3,5.16
2023,4,6.52
2023,5,6.72
2023,6,6.16
2023,7,8.48
2023,8,6.47
2023,9,5.71
2023,10,5.91
2023,11,5.03
2023,12,5.56
