Year,Month,Value
2000,1,1.99
2000,2,2.79
2000,3,2.37
2000,4,2.59
2000,5,2.02
2000,6,2.54
2000,7,2.28
2000,8,1.86
2000,9,1.53
2000,10,1.48
2000,11,1.6
2000,12,1.8
2001,1,2.57
2001,2,2.59
2001,3,2.87
2001,4,3.31
2001,5,2.51
2001,6,2.08
2001,7,2.02
2001,8,1.72
2001,9,1.59
2001,10,1.79
2001,11,2.66
2001,12,2.23
2002,1,2.91
2002,2,3
2002,3,3.54
2002,4,2.93
2002,5,2.81
2002,6,2.43
2002,7,2.35
2002,8,2.05
2002,9,2.08
2002,10,2.62
2002,11,2.79
2002,12,2.8
2003,1,3.86
2003,2,4.09
2003,3,4.02
2003,4,3.64
2003,5,3.07
2003,6,3.12
2003,7,2.67
2003,8,2.52
2003,9,2.55
2003,10,3.14
2003,11,3.23
2003,12,2.93
2004,1,3.82
2004,2,3.91
2004,3,3.91
2004,4,4.11
2004,5,3.5
2004,6,3.89
2004,7,3.11
2004,8,3.5
2004,9,2.81
2004,10,2.77
2004,11,3.65
2004,12,3.12
2005,1,3.89
2005,2,3.97
2005,3,3.98
2005,4,4.29
2005,5,4.48
2005,6,3.35
2005,7,3.27
2005,8,3.79
2005,9,3.03
2005,10,3.03
2005,11,3.67
2005,12,4.14
2006,1,3.93
2006,2,4.25
2006,3,4.18
2006,4,4.53
2006,5,4.21
2006,6,3.6
2006,7,3.28
2006,8,3.58
2006,9,3.15
2006,10,3.87
2006,11,4.04
2006,12,4.02
2007,1,4.22
2007,2,4.72
2007,3,4.29
2007,4,4.82
2007,5,4.33
2007,6,3.89
2007,7,4.09
2007,8,4.08
2007,9,3.59
2007,10,3.72
2007,11,3.44
2007,12,4.33
2008,1,3.7
2008,2,4.32
2008,3,5.5
2008,4,4.27
2008,5,4.74
2008,6,4.53
2008,7,4.42
2008,8,3.01
2008,9,4.94
2008,10,3.8
2008,11,4.39
2008,12,3.63
2009,1,3.61
2009,2,3.8
2009,3,5.07
2009,4,3.17
2009,5,5.03
2009,6,4.43
2009,7,3.52
2009,8,2.96
2009,9,2.63
2009,10,3.42
2009,11,3.48
2009,12,4.83
2010,1,3.92
2010,2,3.97
2010,3,4.78
2010,4,4.44
2010,5,4.06
2010,6,3.49
2010,7,3.51
2010,8,3.62
2010,9,3.11
2010,10,3.1
2010,11,3.68
2010,12,3.85
2011,1,3.53
2011,2,4.47
2011,3,4.02
2011,4,4.51
2011,5,3.9
2011,6,3.61
2011,7,3.1
2011,8,3.61
2011,9,3.06
2011,10,3.34
2011,11,3.87
2011,12,4.11
2012,1,4.12
2012,2,3.61
2012,3,3.8
2012,4,3.51
2012,5,3.73
2012,6,3.12
2012,7,3.59
2012,8,2.95
2012,9,2.81
2012,10,2.79
2012,11,3.01
2012,12,3.46
2013,1,3.5
2013,2,3.94
2013,3,3.69
2013,4,3.72
2013,5,3.21
2013,6,3.11
2013,7,2.55
2013,8,2.51
2013,9,2.76
2013,10,2.79
2013,11,2.93
2013,12,3.21
2014,1,3.36
2014,2,3.12
2014,3,3.14
2014,4,3.15
2014,5,2.62
2014,6,2.66
2014,7,2.92
2014,8,2.53
2014,9,2.07
2014,10,2.34
2014,11,2.61
2014,12,2.69
2015,1,2.9
2015,2,2.58
2015,3,2.89
2015,4,3.24
2015,5,2.71
2015,6,2.38
2015,7,2.16
2015,8,1.79
2015,9,1.7
2015,10,2.03
2015,11,1.72
2015,12,2.13
2016,1,2.16
2016,2,2.05
2016,3,2.07
2016,4,2.44
2016,5,1.85
2016,6,1.88
2016,7,1.96
2016,8,1.82
2016,9,1.58
2016,10,1.39
2016,11,2.03
2016,12,2.06
2017,1,1.56
2017,2,1.61
2017,3,2.09
2017,4,1.8
2017,5,2.07
2017,6,1.78
2017,7,1.57
2017,8,1.43
2017,9,0.94
2017,10,1.02
2017,11,1.2
2017,12,1.87
2018,1,1.91
2018,2,1.96
2018,3,2.12
2018,4,1.9
2018,5,1.5
2018,6,0.99
2018,7,0.79
2018,8,0.38
2018,9,0.62
2018,10,1.14
2018,11,1.37
2018,12,1.3
2019,1,1.18
2019,2,1.74
2019,3,1.2
2019,4,0.96
2019,5,1.09
2019,6,0.64
2019,7,0.53
2019,8,0.1
2019,9,0.25
2019,10,0.89
2019,11,1.01
2019,12,1.01
2020,1,0.71
2020,2,1.3
2020,3,2.14
2020,4,2.31
2020,5,1.36
2020,6,1.6
2020,7,0.99
2020,8,0.19
2020,9,0.38
2020,10,1.48
2020,11,1.11
2020,12,1.5
2021,1,1.08
2021,2,2.4
2021,3,1.73
2021,4,1.07
2021,5,2.04
2021,6,1.05
2021,7,0.9
2021,8,0.1
2021,9,1.26
2021,10,1.06
2021,11,1.43
2021,12,0.89
2022,1,4.69
2022,2,2.58
2022,3,4.38
2022,4,4.72
2022,5,2
2022,6,2.04
2022,7,3.04
2022,8,3.37
2022,9,0.66
2022,10,2.58
2022,11,1.8
2022,12,2.47
2023,1,4.21
2023,2,3.3
2023,3,3.26
2023,4,2.07
2023,5,3.16
2023,6,3.73
2023,7,1.57
2023,8,3.36
2023,9,3.25
2023,10,3.67
2023,11,3.25
2023,12,3.03
