Year,Month,Value
2000,1,1.19
2000,2,1.27
2000,3,1.28
2000,4,1.46
2000,5,0.94
2000,6,0.69
2000,7,0.27
2000,8,0.22
2000,9,0.35
2000,10,0.39
2000,11,0.27
2000,12,0.94
2001,1,1.63
2001,2,1.91
2001,3,1.88
2001,4,1.42
2001,5,1.63
2001,6,1.46
2001,7,0.96
2001,8,0.86
2001,9,0.4
2001,10,0.55
2001,11,0.86
2001,12,1.05
2002,1,1.97
2002,2,2.26
2002,3,2.06
2002,4,2.01
2002,5,1.54
2002,6,1.28
2002,7,1.12
2002,8,1.19
2002,9,0.82
2002,10,1.38
2002,11,1.44
2002,12,1.83
2003,1,2.4
2003,2,2.26
2003,3,2.37
2003,4,2.66
2003,5,2.34
2003,6,2.12
2003,7,1.52
2003,8,1.57
2003,9,1.47
2003,10,1.35
2003,11,1.54
2003,12,2.08
2004,1,2.25
2004,2,2.71
2004,3,2.67
2004,4,2.96
2004,5,2.65
2004,6,2.02
2004,7,2.26
2004,8,1.84
2004,9,2.03
2004,10,1.82
2004,11,2.19
2004,12,2.45
2005,1,3.02
2005,2,3.09
2005,3,2.92
2005,4,2.81
2005,5,2.78
2005,6,2.46
2005,7,2.01
2005,8,2.23
2005,9,2.27
2005,10,2.19
2005,11,2
2005,12,2.65
2006,1,2.64
2006,2,3.28
2006,3,3.39
2006,4,2.99
2006,5,2.64
2006,6,2.44
2006,7,2.41
2006,8,2.51
2006,9,2.39
2006,10,2.48
2006,11,2.42
2006,12,2.56
2007,1,2.74
2007,2,2.93
2007,3,3.56
2007,4,3.38
2007,5,3.08
2007,6,2.83
2007,7,2.58
2007,8,2.12
2007,9,2.1
2007,10,2.38
2007,11,2.69
2007,12,2.92
2008,1,2.21
2008,2,4.04
2008,3,4.15
2008,4,2.78
2008,5,2.89
2008,6,2.39
2008,7,2.72
2008,8,1.31
2008,9,1.66
2008,10,1.43
2008,11,2.13
2008,12,2.74
2009,1,3.16
2009,2,3.64
2009,3,2.97
2009,4,3.03
2009,5,2.11
2009,6,2.96
2009,7,2.32
2009,8,2.54
2009,9,1.54
2009,10,1.91
2009,11,1.91
2009,12,1.73
2010,1,3.12
2010,2,3.13
2010,3,2.87
2010,4,2.86
2010,5,2.59
2010,6,2.43
2010,7,2.65
2010,8,2.45
2010,9,1.92
2010,10,2.23
2010,11,2.37
2010,12,2.43
2011,1,2.93
2011,2,2.78
2011,3,2.96
2011,4,3.05
2011,5,2.51
2011,6,2.47
2011,7,2
2011,8,1.96
2011,9,2.11
2011,10,1.95
2011,11,2.28
2011,12,2.37
2012,1,2.11
2012,2,2.75
2012,3,2.65
2012,4,2.41
2012,5,2.51
2012,6,2.12
2012,7,2.18
2012,8,2
2012,9,1.59
2012,10,1.54
2012,11,1.77
2012,12,2.36
2013,1,1.91
2013,2,2.51
2013,3,2.48
2013,4,2.18
2013,5,1.95
2013,6,2.03
2013,7,1.45
2013,8,1.5
2013,9,1.62
2013,10,1.37
2013,11,1.79
2013,12,1.75
2014,1,1.47
2014,2,1.74
2014,3,2.13
2014,4,1.94
2014,5,1.95
2014,6,1.72
2014,7,0.96
2014,8,0.76
2014,9,1.03
2014,10,0.79
2014,11,0.97
2014,12,1.29
2015,1,1.4
2015,2,1.3
2015,3,1.73
2015,4,1.64
2015,5,1.35
2015,6,1.04
2015,7,0.91
2015,8,0.88
2015,9,0.59
2015,10,0.75
2015,11,1.11
2015,12,1.34
2016,1,1.22
2016,2,1.19
2016,3,1.31
2016,4,0.99
2016,5,0.9
2016,6,0.62
2016,7,0.15
2016,8,0.2
2016,9,0.14
2016,10,0.36
2016,11,0.52
2016,12,0.96
2017,1,0.67
2017,2,0.63
2017,3,0.64
2017,4,0.74
2017,5,0.49
2017,6,0.4
2017,7,0.1
2017,8,0.1
2017,9,0.1
2017,10,0.1
2017,11,0.26
2017,12,0.11
2018,1,0.1
2018,2,0.13
2018,3,0.26
2018,4,0.33
2018,5,0.13
2018,6,0.1
2018,7,0.1
2018,8,0.1
2018,9,0.1
2018,10,0.1
2018,11,0.1
2018,12,0.1
2019,1,0.1
2019,2,0.14
2019,3,0.11
2019,4,0.18
2019,5,0.1
2019,6,0.1
2019,7,0.1
2019,8,0.1
2019,9,0.1
2019,10,0.1
2019,11,0.1
2019,12,0.1
2020,1,0.71
2020,2,0.1
2020,3,0.52
2020,4,0.17
2020,5,0.1
2020,6,0.19
2020,7,0.1
2020,8,0.1
2020,9,0.1
2020,10,0.1
2020,11,0.1
2020,12,0.1
2021,1,0.1
2021,2,0.24
2021,3,1.21
2021,4,0.1
2021,5,0.1
2021,6,0.1
2021,7,0.1
2021,8,0.1
2021,9,0.1
2021,10,0.1
2021,11,0.1
2021,12,0.1
2022,1,1.21
2022,2,1.89
2022,3,2.61
2022,4,3.21
2022,5,1.08
2022,6,2.7
2022,7,1
2022,8,0.1
2022,9,0.44
2022,10,2.03
2022,11,2.22
2022,12,1.75
2023,1,1.38
2023,2,2.09
2023,3,0.58
2023,4,1.51
2023,5,1.84
2023,6,2.53
2023,7,0.59
2023,8,1.94
2023,9,0.1
2023,10,0.42
2023,11,0.43
2023,12,1.19
