Year,Month,Value
2000,1,3.21
2000,2,3.63
2000,3,3.88
2000,4,3.2
2000,5,3.5
2000,6,3.4
2000,7,2.8
2000,8,2.31
2000,9,3.01
2000,10,2.85
2000,11,3.04
2000,12,3.49
2001,1,3.38
2001,2,3.37
2001,3,3.07
2001,4,3.51
2001,5,3.69
2001,6,3.52
2001,7,2.79
2001,8,2.37
2001,9,2.77
2001,10,2.81
2001,11,2.44
2001,12,3.39
2002,1,3.11
2002,2,4.26
2002,3,4.59
2002,4,4.56
2002,5,3.41
2002,6,2.89
2002,7,3.55
2002,8,2.76
2002,9,2.9
2002,10,3.84
2002,11,3.77
2002,12,3.47
2003,1,3.48
2003,2,4.94
2003,3,4.57
2003,4,4.08
2003,5,3.94
2003,6,3.28
2003,7,3.06
2003,8,2.86
2003,9,3.72
2003,10,4.14
2003,11,4.38
2003,12,3.24
2004,1,4.48
2004,2,4.57
2004,3,4.21
2004,4,4.56
2004,5,4.79
2004,6,4.49
2004,7,3.67
2004,8,4.33
2004,9,4.17
2004,10,4.23
2004,11,4.22
2004,12,4.28
2005,1,5.42
2005,2,4.48
2005,3,4.67
2005,4,5.2
2005,5,5.21
2005,6,4.71
2005,7,4.25
2005,8,3.97
2005,9,4.45
2005,10,3.81
2005,11,3.83
2005,12,5.21
2006,1,5.26
2006,2,4.79
2006,3,5.13
2006,4,5.83
2006,5,5.63
2006,6,3.98
2006,7,4.65
2006,8,4.63
2006,9,4.83
2006,10,4.27
2006,11,3.84
2006,12,5.08
2007,1,4.41
2007,2,5.22
2007,3,5.69
2007,4,4.71
2007,5,4.65
2007,6,4.49
2007,7,3.92
2007,8,4.97
2007,9,3.81
2007,10,4.33
2007,11,5.17
2007,12,5.51
2008,1,6.27
2008,2,5.61
2008,3,4.26
2008,4,4.8
2008,5,4.9
2008,6,4.41
2008,7,4.88
2008,8,3.93
2008,9,4.39
2008,10,4.8
2008,11,4.45
2008,12,3.78
2009,1,4.95
2009,2,4.38
2009,3,5.77
2009,4,4.3
2009,5,5.32
2009,6,5.18
2009,7,4.04
2009,8,4.45
2009,9,3.29
2009,10,4.48
2009,11,3.92
2009,12,3.83
2010,1,4.54
2010,2,5.45
2010,3,5.54
2010,4,5.29
2010,5,5.41
2010,6,5.28
2010,7,4.99
2010,8,3.56
2010,9,4.08
2010,10,4.3
2010,11,4.33
2010,12,4.12
2011,1,5.07
2011,2,4.91
2011,3,4.17
2011,4,4.17
2011,5,3.96
2011,6,3.97
2011,7,4.72
2011,8,3.46
2011,9,4.16
2011,10,4.2
2011,11,4.82
2011,12,3.88
2012,1,3.83
2012,2,4.29
2012,3,5.36
2012,4,3.88
2012,5,4.21
2012,6,3.75
2012,7,3.45
2012,8,4.18
2012,9,3.92
2012,10,3.19
2012,11,3.57
2012,12,4.15
2013,1,4.3
2013,2,3.71
2013,3,4.41
2013,4,3.84
2013,5,3.71
2013,6,3.2
2013,7,3.42
2013,8,3.49
2013,9,2.64
2013,10,3.86
2013,11,4.16
2013,12,3.8
2014,1,3.59
2014,2,3.99
2014,3,4.21
2014,4,4.35
2014,5,3.86
2014,6,3.38
2014,7,3.92
2014,8,2.68
2014,9,2.58
2014,10,2.8
2014,11,3.93
2014,12,2.81
2015,1,2.73
2015,2,4.1
2015,3,3.55
2015,4,3.6
2015,5,3.19
2015,6,2.89
2015,7,2.85
2015,8,2.12
2015,9,2.85
2015,10,3.35
2015,11,2.34
2015,12,3.11
2016,1,2.79
2016,2,3.35
2016,3,2.83
2016,4,2.74
2016,5,2.4
2016,6,3.04
2016,7,2.94
2016,8,2.52
2016,9,1.52
2016,10,2.14
2016,11,2.71
2016,12,3.13
2017,1,2.18
2017,2,3.44
2017,3,3.24
2017,4,2.29
2017,5,2.68
2017,6,2.91
2017,7,2.19
2017,8,2.46
2017,9,1.4
2017,10,2.45
2017,11,1.81
2017,12,2.06
2018,1,1.8
2018,2,2.71
2018,3,2.89
2018,4,2.88
2018,5,2.48
2018,6,2.17
2018,7,1.61
2018,8,1.53
2018,9,2.04
2018,10,2.12
2018,11,1.38
2018,12,1.44
2019,1,2.51
2019,2,1.91
2019,3,2.34
2019,4,1.85
2019,5,1.08
2019,6,2.3
2019,7,1.92
2019,8,1.5
2019,9,0.46
2019,10,1.13
2019,11,1.93
2019,12,1.73
2020,1,1.41
2020,2,2.91
2020,3,2.54
2020,4,3.5
2020,5,1.7
2020,6,1.42
2020,7,1.29
2020,8,2.26
2020,9,2.15
2020,10,1.67
2020,11,1.39
2020,12,2.11
2021,1,2.55
2021,2,2.03
2021,3,2.46
2021,4,1.46
2021,5,1.99
2021,6,1.37
2021,7,1.18
2021,8,2.07
2021,9,2.6
2021,10,0.82
2021,11,2.55
2021,12,1.82
2022,1,2.44
2022,2,4.59
2022,3,3.29
2022,4,3.73
2022,5,3.39
2022,6,2.75
2022,7,2.9
2022,8,4.52
2022,9,3.76
2022,10,1.54
2022,11,4.38
2022,12,2.64
2023,1,3.26
2023,2,2.79
2023,3,3.56
2023,4,3.98
2023,5,5.28
2023,6,3.54
2023,7,2.46
2023,8,3.64
2023,9,1.9
2023,10,1.78
2023,11,2.48
2023,12,2.67
