Year,Month,Value
2000,1,1.65
2000,2,2.57
2000,3,2.11
2000,4,2.23
2000,5,2.09
2000,6,1.79
2000,7,1.56
2000,8,1.03
2000,9,1.55
2000,10,1.09
2000,11,1.2
2000,12,1.69
2001,1,2.24
2001,2,2.76
2001,3,2.66
2001,4,2.43
2001,5,2.31
2001,6,2.53
2001,7,2.33
2001,8,1.65
2001,9,1.93
2001,10,1.72
2001,11,2.28
2001,12,1.85
2002,1,2.81
2002,2,3.4
2002,3,3.43
2002,4,3.24
2002,5,3.13
2002,6,2.48
2002,7,2.43
2002,8,1.87
2002,9,2.13
2002,10,2.01
2002,11,2.45
2002,12,2.41
2003,1,3.58
2003,2,3.36
2003,3,3.35
2003,4,3.39
2003,5,3.04
2003,6,2.88
2003,7,2.98
2003,8,2.44
2003,9,2.73
2003,10,2.39
2003,11,2.98
2003,12,3.19
2004,1,3.65
2004,2,4.05
2004,3,3.99
2004,4,3.75
2004,5,3.85
2004,6,2.86
2004,7,3.07
2004,8,2.88
2004,9,2.77
2004,10,3.13
2004,11,2.77
2004,12,3.58
2005,1,4.08
2005,2,3.54
2005,3,4.28
2005,4,4.13
2005,5,4.08
2005,6,3.46
2005,7,3.23
2005,8,2.94
2005,9,2.75
2005,10,3.39
2005,11,3.5
2005,12,3.46
2006,1,3.62
2006,2,3.95
2006,3,3.84
2006,4,4.29
2006,5,4.09
2006,6,3.76
2006,7,3.57
2006,8,2.85
2006,9,3.06
2006,10,3.16
2006,11,3.34
2006,12,3.72
2007,1,4.2
2007,2,4.38
2007,3,4.25
2007,4,4.24
2007,5,3.69
2007,6,3.72
2007,7,3.64
2007,8,3.27
2007,9,3.46
2007,10,3.21
2007,11,3.2
2007,12,4
2008,1,3.73
2008,2,4.05
2008,3,3.88
2008,4,4.34
2008,5,5.17
2008,6,4.22
2008,7,3.47
2008,8,3.72
2008,9,3.73
2008,10,3.21
2008,11,3.09
2008,12,4.34
2009,1,4.38
2009,2,3.98
2009,3,4.9
2009,4,4.91
2009,5,3.4
2009,6,4.24
2009,7,3.31
2009,8,2.67
2009,9,3.66
2009,10,2.74
2009,11,3.16
2009,12,3.29
2010,1,3.83
2010,2,4.1
2010,3,3.77
2010,4,3.78
2010,5,3.62
2010,6,3.32
2010,7,3.27
2010,8,3.35
2010,9,3.1
2010,10,3.2
2010,11,3.67
2010,12,3.81
2011,1,3.3
2011,2,3.5
2011,3,4.2
2011,4,3.52
2011,5,3.65
2011,6,3.38
2011,7,3.2
2011,8,2.75
2011,9,3.04
2011,10,2.78
2011,11,2.96
2011,12,3.21
2012,1,3.22
2012,2,3.23
2012,3,3.43
2012,4,3.56
2012,5,3.79
2012,6,3.19
2012,7,3.23
2012,8,2.52
2012,9,2.72
2012,10,2.69
2012,11,2.76
2012,12,2.76
2013,1,3.38
2013,2,2.92
2013,3,3.25
2013,4,3.06
2013,5,2.78
2013,6,3.12
2013,7,2.46
2013,8,2.25
2013,9,1.99
2013,10,2.11
2013,11,2.75
2013,12,2.45
2014,1,3.12
2014,2,2.83
2014,3,2.64
2014,4,3.22
2014,5,2.78
2014,6,2.19
2014,7,2
2014,8,2.37
2014,9,2.34
2014,10,1.71
2014,11,2.22
2014,12,2.24
2015,1,2.5
2015,2,2.5
2015,3,2.73
2015,4,2.39
2015,5,2.35
2015,6,1.81
2015,7,2.03
2015,8,1.38
2015,9,1.44
2015,10,1.92
2015,11,2.09
2015,12,2.46
2016,1,1.56
2016,2,2.17
2016,3,2.07
2016,4,2.05
2016,5,2.13
2016,6,1.93
2016,7,1.1
2016,8,1.32
2016,9,1.04
2016,10,1.37
2016,11,1.5
2016,12,1.68
2017,1,1.2
2017,2,2.08
2017,3,1.79
2017,4,1.94
2017,5,1.44
2017,6,1.51
2017,7,1.04
2017,8,1.11
2017,9,1.13
2017,10,0.59
2017,11,0.88
2017,12,1.23
2018,1,1.26
2018,2,1.65
2018,3,1.11
2018,4,1.05
2018,5,1.16
2018,6,0.56
2018,7,0.31
2018,8,0.87
2018,9,0.7
2018,10,0.49
2018,11,0.53
2018,12,0.99
2019,1,0.92
2019,2,1.22
2019,3,1.37
2019,4,0.94
2019,5,0.68
2019,6,0.31
2019,7,0.29
2019,8,0.26
2019,9,0.1
2019,10,0.1
2019,11,0.62
2019,12,0.6
2020,1,1.85
2020,2,0.84
2020,3,1.38
2020,4,0.97
2020,5,0.86
2020,6,0.98
2020,7,1.58
2020,8,0.1
2020,9,0.1
2020,10,0.58
2020,11,1.3
2020,12,1.2
2021,1,0.59
2021,2,0.51
2021,3,1.84
2021,4,1.22
2021,5,1.36
2021,6,0.39
2021,7,1.32
2021,8,0.1
2021,9,0.1
2021,10,1.14
2021,11,0.76
2021,12,1.52
2022,1,2.56
2022,2,1.95
2022,3,3.01
2022,4,3.04
2022,5,2.12
2022,6,1.49
2022,7,0.64
2022,8,3.16
2022,9,1.89
2022,10,1.07
2022,11,2.42
2022,12,2.3
2023,1,2.99
2023,2,2.44
2023,3,3.01
2023,4,2.94
2023,5,4.1
2023,6,1.28
2023,7,2.55
2023,8,2.84
2023,9,3.4
2023,10,1.92
2023,11,0.91
2023,12,2.02
