Year,Month,Value
2000,1,1.59
2000,2,1.72
2000,3,2.08
2000,4,1.74
2000,5,2.16
2000,6,1.7
2000,7,1.51
2000,8,0.83
2000,9,0.81
2000,10,0.84
2000,11,1.55
2000,12,1.56
2001,1,2.38
2001,2,2.25
2001,3,2.47
2001,4,2.14
2001,5,2.31
2001,6,2.18
2001,7,1.45
2001,8,1.86
2001,9,1.77
2001,10,1.84
2001,11,1.53
2001,12,2.07
2002,1,2.83
2002,2,2.65
2002,3,2.84
2002,4,2.6
2002,5,2.7
2002,6,2.32
2002,7,1.98
2002,8,1.91
2002,9,1.64
2002,10,1.75
2002,11,2.39
2002,12,2.04
2003,1,3.22
2003,2,2.91
2003,3,3.15
2003,4,3.27
2003,5,2.65
2003,6,2.92
2003,7,2.54
2003,8,2.08
2003,9,2.33
2003,10,2.27
2003,11,2.43
2003,12,2.45
2004,1,3.18
2004,2,3.35
2004,3,3.43
2004,4,3.81
2004,5,3.1
2004,6,3.2
2004,7,2.44
2004,8,2.86
2004,9,2.54
2004,10,2.79
2004,11,3.13
2004,12,2.93
2005,1,3.52
2005,2,3.42
2005,3,3.89
2005,4,3.41
2005,5,3.27
2005,6,3.02
2005,7,3.16
2005,8,2.69
2005,9,2.77
2005,10,2.6
2005,11,3.03
2005,12,3.28
2006,1,3.55
2006,2,3.71
2006,3,4.2
2006,4,4.18
2006,5,3.65
2006,6,3.42
2006,7,3.32
2006,8,3.14
2006,9,2.99
2006,10,2.73
2006,11,3.11
2006,12,3.81
2007,1,3.63
2007,2,3.93
2007,3,4.39
2007,4,4.04
2007,5,3.9
2007,6,3.79
2007,7,3.62
2007,8,3.11
2007,9,2.99
2007,10,2.99
2007,11,3.24
2007,12,3.79
2008,1,4.47
2008,2,4.44
2008,3,4.97
2008,4,4.06
2008,5,3.23
2008,6,3.75
2008,7,2.95
2008,8,4.41
2008,9,3.92
2008,10,3.03
2008,11,3.2
2008,12,2.98
2009,1,3.44
2009,2,2.96
2009,3,4.25
2009,4,4.18
2009,5,3.2
2009,6,3.87
2009,7,3.25
2009,8,2.86
2009,9,2.98
2009,10,3.79
2009,11,2.43
2009,12,2.83
2010,1,3.84
2010,2,3.98
2010,3,4.12
2010,4,4.02
2010,5,3.77
2010,6,3.12
2010,7,3
2010,8,2.91
2010,9,2.91
2010,10,2.82
2010,11,3.25
2010,12,3.42
2011,1,3.34
2011,2,3.65
2011,3,3.99
2011,4,3.73
2011,5,3.19
2011,6,3.11
2011,7,3.13
2011,8,2.89
2011,9,2.52
2011,10,3
2011,11,3.12
2011,12,3.57
2012,1,3.37
2012,2,3.22
2012,3,3.4
2012,4,3.71
2012,5,3.03
2012,6,3.27
2012,7,2.95
2012,8,2.82
2012,9,2.68
2012,10,2.75
2012,11,2.89
2012,12,3.14
2013,1,2.54
2013,2,3.07
2013,3,3.42
2013,4,2.75
2013,5,2.91
2013,6,2.33
2013,7,2.22
2013,8,2.15
2013,9,1.87
2013,10,2.46
2013,11,2.51
2013,12,2.29
2014,1,2.32
2014,2,2.56
2014,3,2.76
2014,4,2.83
2014,5,2.8
2014,6,2.5
2014,7,2.32
2014,8,1.63
2014,9,1.78
2014,10,1.71
2014,11,1.81
2014,12,2.04
2015,1,2.18
2015,2,2.11
2015,3,2.6
2015,4,2.15
2015,5,2.19
2015,6,2.05
2015,7,1.41
2015,8,1.47
2015,9,1.24
2015,10,1.61
2015,11,1.55
2015,12,1.84
2016,1,1.94
2016,2,1.62
2016,3,2.25
2016,4,2.23
2016,5,1.57
2016,6,1.15
2016,7,1.09
2016,8,1.39
2016,9,1.12
2016,10,0.79
2016,11,1.2
2016,12,1.31
2017,1,1.59
2017,2,1.43
2017,3,1.61
2017,4,1.28
2017,5,1.35
2017,6,1.27
2017,7,0.83
2017,8,0.44
2017,9,0.53
2017,10,0.55
2017,11,0.76
2017,12,1.42
2018,1,1.01
2018,2,1.31
2018,3,1.06
2018,4,1.44
2018,5,0.98
2018,6,0.96
2018,7,0.62
2018,8,0.58
2018,9,0.37
2018,10,0.1
2018,11,0.57
2018,12,0.58
2019,1,0.45
2019,2,1.08
2019,3,1.1
2019,4,0.99
2019,5,0.85
2019,6,0.25
2019,7,0.36
2019,8,0.18
2019,9,0.22
2019,10,0.1
2019,11,0.43
2019,12,0.18
2020,1,0.22
2020,2,0.7
2020,3,1.35
2020,4,1.64
2020,5,0.94
2020,6,0.39
2020,7,0.49
2020,8,1.02
2020,9,0.1
2020,10,0.49
2020,11,1.25
2020,12,0.27
2021,1,1.18
2021,2,1.02
2021,3,1.68
2021,4,0.68
2021,5,0.95
2021,6,1.12
2021,7,0.1
2021,8,1.02
2021,9,0.3
2021,10,0.58
2021,11,0.21
2021,12,0.91
2022,1,2.97
2022,2,3.32
2022,3,3.22
2022,4,2.79
2022,5,3.39
2022,6,2.49
2022,7,1.1
2022,8,1.56
2022,9,1.92
2022,10,2.79
2022,11,3.51
2022,12,2.26
2023,1,2.32
2023,2,3.24
2023,3,4.28
2023,4,1.03
2023,5,1.93
2023,6,3.03
2023,7,0.78
2023,8,2.81
2023,9,2.38
2023,10,1.85
2023,11,2.02
2023,12,2.49
