Year,Month,Value
2000,1,3.11
2000,2,2.21
2000,3,2.84
2000,4,2.61
2000,5,2.2
2000,6,2.1
2000,7,2.28
2000,8,2.29
2000,9,1.46
2000,10,1.47
2000,11,2.05
2000,12,2.19
2001,1,2.66
2001,2,3.72
2001,3,3.63
2001,4,3.2
2001,5,3.32
2001,6,2.9
2001,7,2.68
2001,8,2.77
2001,9,2.58
2001,10,2.85
2001,11,1.91
2001,12,2.87
2002,1,2.94
2002,2,3.15
2002,3,3.84
2002,4,3.75
2002,5,3.49
2002,6,3.68
2002,7,2.6
2002,8,3.07
2002,9,2.19
2002,10,3.22
2002,11,3.28
2002,12,2.54
2003,1,3.22
2003,2,4.27
2003,3,4.33
2003,4,4.38
2003,5,4.13
2003,6,3.53
2003,7,3.47
2003,8,3.19
2003,9,3.22
2003,10,3.5
2003,11,3.7
2003,12,2.95
2004,1,4.23
2004,2,4.33
2004,3,4.53
2004,4,4.34
2004,5,3.69
2004,6,3.82
2004,7,3.6
2004,8,3.2
2004,9,3.54
2004,10,3.51
2004,11,3.09
2004,12,3.37
2005,1,4.54
2005,2,3.9
2005,3,4.91
2005,4,4.97
2005,5,4.34
2005,6,3.95
2005,7,3.41
2005,8,3.3
2005,9,3.39
2005,10,3.42
2005,11,3.53
2005,12,4.04
2006,1,3.91
2006,2,4.26
2006,3,5.17
2006,4,4.86
2006,5,4.98
2006,6,4.64
2006,7,4.08
2006,8,3.3
2006,9,3.48
2006,10,4.26
2006,11,3.64
2006,12,3.57
2007,1,5.11
2007,2,4.28
2007,3,5.06
2007,4,4.83
2007,5,4.06
2007,6,4.48
2007,7,3.53
2007,8,3.83
2007,9,3.31
2007,10,3.59
2007,11,4.03
2007,12,3.69
2008,1,4.72
2008,2,4.66
2008,3,5.32
2008,4,5.02
2008,5,4.24
2008,6,5.5
2008,7,4.55
2008,8,3.51
2008,9,4.74
2008,10,2.99
2008,11,3.61
2008,12,5.73
2009,1,4.82
2009,2,5.02
2009,3,4.89
2009,4,5.61
2009,5,4.79
2009,6,4.06
2009,7,3.67
2009,8,2.67
2009,9,3.46
2009,10,4.86
2009,11,2.83
2009,12,5.62
2010,1,4.34
2010,2,4.25
2010,3,4.04
2010,4,4.44
2010,5,4.6
2010,6,4.06
2010,7,4.15
2010,8,4.29
2010,9,3.06
2010,10,3.41
2010,11,3.78
2010,12,4.23
2011,1,4.41
2011,2,4.6
2011,3,4.69
2011,4,4.61
2011,5,4.48
2011,6,3.36
2011,7,3.19
2011,8,3.48
2011,9,3.29
2011,10,3.04
2011,11,3.15
2011,12,3.43
2012,1,3.41
2012,2,3.87
2012,3,4.54
2012,4,3.68
2012,5,4.29
2012,6,3.85
2012,7,3.58
2012,8,3.74
2012,9,2.83
2012,10,2.71
2012,11,3.8
2012,12,4.12
2013,1,4.03
2013,2,3.6
2013,3,3.55
2013,4,3.77
2013,5,3.08
2013,6,3.73
2013,7,3.27
2013,8,2.57
2013,9,2.97
2013,10,3.33
2013,11,3.68
2013,12,3.38
2014,1,3.04
2014,2,2.88
2014,3,3.31
2014,4,3.63
2014,5,2.98
2014,6,3.05
2014,7,2.66
2014,8,2.01
2014,9,2.05
2014,10,2.77
2014,11,3.27
2014,12,2.82
2015,1,2.46
2015,2,3.5
2015,3,2.58
2015,4,2.55
2015,5,3.39
2015,6,2.31
2015,7,2.3
2015,8,2.64
2015,9,2.2
2015,10,2.65
2015,11,1.88
2015,12,2.62
2016,1,2.87
2016,2,3.18
2016,3,3.23
2016,4,2.85
2016,5,2.81
2016,6,2.64
2016,7,1.54
2016,8,1.59
2016,9,1.67
2016,10,1.61
2016,11,2.08
2016,12,1.92
2017,1,1.45
2017,2,1.89
2017,3,2.41
2017,4,2.51
2017,5,1.71
2017,6,1.89
2017,7,2.01
2017,8,1.84
2017,9,1.81
2017,10,0.97
2017,11,1.35
2017,12,1.53
2018,1,1.51
2018,2,2
2018,3,1.71
2018,4,1.47
2018,5,1.14
2018,6,1.83
2018,7,1.23
2018,8,0.54
2018,9,1.37
2018,10,1.21
2018,11,0.7
2018,12,1.74
2019,1,1.38
2019,2,1.76
2019,3,1.25
2019,4,1.3
2019,5,1.84
2019,6,1.4
2019,7,0.47
2019,8,0.69
2019,9,0.64
2019,10,0.39
2019,11,0.24
2019,12,1.55
2020,1,1.25
2020,2,2.59
2020,3,2.92
2020,4,0.67
2020,5,1.9
2020,6,1.55
2020,7,2.27
2020,8,1.99
2020,9,1.66
2020,10,0.98
2020,11,1.5
2020,12,1.11
2021,1,1.36
2021,2,2.3
2021,3,2.42
2021,4,1.18
2021,5,1.82
2021,6,2.33
2021,7,1.07
2021,8,0.7
2021,9,0.81
2021,10,0.83
2021,11,1.09
2021,12,1.58
2022,1,2.21
2022,2,2.81
2022,3,3.89
2022,4,2.77
2022,5,4.08
2022,6,3.54
2022,7,2.61
2022,8,2
2022,9,2.42
2022,10,1.33
2022,11,1.94
2022,12,1.74
2023,1,3.33
2023,2,1.75
2023,3,4.26
2023,4,4.11
2023,5,3.47
2023,6,2.61
2023,7,2.92
2023,8,1.59
2023,9,2.2
2023,10,1.67
2023,11,2.17
2023,12,1.36
