Year,Month,Value
2000,1,1.57
2000,2,2.09
2000,3,1.68
2000,4,2.09
2000,5,1.67
2000,6,1.74
2000,7,1.09
2000,8,1.16
2000,9,0.74
2000,10,1.04
2000,11,1.13
2000,12,1.66
2001,1,2.41
2001,2,2.24
2001,3,2.48
2001,4,2.44
2001,5,2.42
2001,6,1.91
2001,7,1.83
2001,8,1.24
2001,9,1.25
2001,10,1.61
2001,11,1.78
2001,12,1.72
2002,1,2.78
2002,2,2.7
2002,3,2.44
2002,4,2.85
2002,5,2.57
2002,6,2.26
2002,7,1.79
2002,8,1.65
2002,9,1.85
2002,10,1.76
2002,11,2.37
2002,12,2.48
2003,1,2.83
2003,2,3.18
2003,3,2.94
2003,4,3.11
2003,5,2.82
2003,6,2.95
2003,7,2.2
2003,8,1.87
2003,9,2.12
2003,10,2.04
2003,11,2.29
2003,12,2.64
2004,1,3.16
2004,2,3.71
2004,3,3.13
2004,4,3.04
2004,5,3.18
2004,6,2.96
2004,7,2.82
2004,8,2.49
2004,9,2.3
2004,10,2.38
2004,11,2.39
2004,12,3.06
2005,1,3.16
2005,2,3.35
2005,3,3.4
2005,4,3.29
2005,5,3.17
2005,6,3.11
2005,7,2.65
2005,8,2.8
2005,9,2.78
2005,10,2.99
2005,11,2.59
2005,12,3.33
2006,1,3.56
2006,2,4.12
2006,3,4.15
2006,4,3.69
2006,5,3.49
2006,6,3.44
2006,7,3.14
2006,8,2.96
2006,9,2.93
2006,10,2.72
2006,11,2.97
2006,12,3.37
2007,1,4.01
2007,2,4.22
2007,3,4.12
2007,4,3.7
2007,5,3.82
2007,6,3.71
2007,7,3
2007,8,2.82
2007,9,3.29
2007,10,2.95
2007,11,3.12
2007,12,3.62
2008,1,3.12
2008,2,4.79
2008,3,4.45
2008,4,3.41
2008,5,4.03
2008,6,3.08
2008,7,4.01
2008,8,2.73
2008,9,3.12
2008,10,2.88
2008,11,2.67
2008,12,3.06
2009,1,4.17
2009,2,4.37
2009,3,5.03
2009,4,4.02
2009,5,3.22
2009,6,3.76
2009,7,3.99
2009,8,3.9
2009,9,3.76
2009,10,3.43
2009,11,3.77
2009,12,2.58
2010,1,3.43
2010,2,3.92
2010,3,3.89
2010,4,3.92
2010,5,3.23
2010,6,3.33
2010,7,2.96
2010,8,2.54
2010,9,2.5
2010,10,2.93
2010,11,3.03
2010,12,3.17
2011,1,3.14
2011,2,3.71
2011,3,3.47
2011,4,3.84
2011,5,3.32
2011,6,3.35
2011,7,2.9
2011,8,2.63
2011,9,2.44
2011,10,2.9
2011,11,2.62
2011,12,2.84
2012,1,3.17
2012,2,3.26
2012,3,3.09
2012,4,3.62
2012,5,2.86
2012,6,2.99
2012,7,2.29
2012,8,2.11
2012,9,2.25
2012,10,2.11
2012,11,2.68
2012,12,3.13
2013,1,2.54
2013,2,2.87
2013,3,3.29
2013,4,3.07
2013,5,2.69
2013,6,2.46
2013,7,2.57
2013,8,2.27
2013,9,1.75
2013,10,1.83
2013,11,2.57
2013,12,2.58
2014,1,2.61
2014,2,2.58
2014,3,2.58
2014,4,2.26
2014,5,2.33
2014,6,2.31
2014,7,1.58
2014,8,2
2014,9,1.66
2014,10,1.47
2014,11,1.99
2014,12,2.41
2015,1,2.03
2015,2,2
2015,3,2.41
2015,4,2.26
2015,5,2.34
2015,6,1.73
2015,7,1.78
2015,8,1.48
2015,9,1.22
2015,10,1.58
2015,11,1.78
2015,12,1.51
2016,1,1.45
2016,2,1.88
2016,3,1.72
2016,4,2.11
2016,5,1.41
2016,6,1.32
2016,7,0.96
2016,8,1.18
2016,9,0.63
2016,10,0.92
2016,11,0.93
2016,12,1.5
2017,1,1.12
2017,2,1.08
2017,3,1.77
2017,4,1.37
2017,5,1.04
2017,6,0.76
2017,7,0.85
2017,8,0.55
2017,9,0.52
2017,10,0.75
2017,11,0.9
2017,12,1.11
2018,1,1.08
2018,2,1.25
2018,3,1.09
2018,4,0.81
2018,5,0.94
2018,6,0.54
2018,7,0.65
2018,8,0.28
2018,9,0.1
2018,10,0.16
2018,11,0.26
2018,12,0.43
2019,1,0.25
2019,2,0.72
2019,3,0.59
2019,4,0.48
2019,5,0.33
2019,6,0.1
2019,7,0.1
2019,8,0.1
2019,9,0.1
2019,10,0.1
2019,11,0.1
2019,12,0.1
2020,1,0.85
2020,2,1.27
2020,3,1.32
2020,4,1.07
2020,5,1.39
2020,6,1.06
2020,7,0.75
2020,8,1.3
2020,9,0.1
2020,10,0.27
2020,11,0.1
2020,12,0.4
2021,1,0.18
2021,2,1.48
2021,3,0.56
2021,4,1.7
2021,5,0.41
2021,6,0.1
2021,7,0.44
2021,8,0.6
2021,9,0.32
2021,10,0.1
2021,11,0.5
2021,12,0.1
2022,1,0.97
2022,2,1.87
2022,3,3.04
2022,4,2.78
2022,5,3.99
2022,6,0.77
2022,7,1.74
2022,8,2.75
2022,9,3.07
2022,10,0.3
2022,11,1.38
2022,12,2.75
2023,1,1.58
2023,2,1.03
2023,3,1.03
2023,4,0.94
2023,5,1.36
2023,6,2.44
2023,7,0.85
2023,8,0.1
2023,9,1.12
2023,10,0.18
2023,11,0.65
2023,12,3.06
