Year,Month,Value
2000,1,1.58
2000,2,2.35
2000,3,2.51
2000,4,2.26
2000,5,2.32
2000,6,1.77
2000,7,1.47
2000,8,1.14
2000,9,1.39
2000,10,1.01
2000,11,1.62
2000,12,1.43
2001,1,1.99
2001,2,2.58
2001,3,2.62
2001,4,2.7
2001,5,2.5
2001,6,2.04
2001,7,1.63
2001,8,1.64
2001,9,1.62
2001,10,1.77
2001,11,2.13
2001,12,2.39
2002,1,3.05
2002,2,3.08
2002,3,2.85
2002,4,3.29
2002,5,2.98
2002,6,2.78
2002,7,2.42
2002,8,2.4
2002,9,2.25
2002,10,1.91
2002,11,2.06
2002,12,2.57
2003,1,3.23
2003,2,3.57
2003,3,3.49
2003,4,3.31
2003,5,2.93
2003,6,2.8
2003,7,2.46
2003,8,2.66
2003,9,2.48
2003,10,2.24
2003,11,2.83
2003,12,2.63
2004,1,3.36
2004,2,3.42
2004,3,3.7
2004,4,3.63
2004,5,3.03
2004,6,3.32
2004,7,2.97
2004,8,2.69
2004,9,2.6
2004,10,2.87
2004,11,3.15
2004,12,3.47
2005,1,3.24
2005,2,3.72
2005,3,4.18
2005,4,4.13
2005,5,3.8
2005,6,3.43
2005,7,2.77
2005,8,3.12
2005,9,3.16
2005,10,2.62
2005,11,3.17
2005,12,3.32
2006,1,3.73
2006,2,3.93
2006,3,3.83
2006,4,4.35
2006,5,3.75
2006,6,3.41
2006,7,2.92
2006,8,3.22
2006,9,2.94
2006,10,2.91
2006,11,3.65
2006,12,3.52
2007,1,3.72
2007,2,3.73
2007,3,4.12
2007,4,3.81
2007,5,4.11
2007,6,3.94
2007,7,3.17
2007,8,3.63
2007,9,3.16
2007,10,3.29
2007,11,3.36
2007,12,3.63
2008,1,4.15
2008,2,4.75
2008,3,4.64
2008,4,4.66
2008,5,3.74
2008,6,2.64
2008,7,2.67
2008,8,2.26
2008,9,3.41
2008,10,3.63
2008,11,2.75
2008,12,4.43
2009,1,3.53
2009,2,4.33
2009,3,3.58
2009,4,4.04
2009,5,3.82
2009,6,2.66
2009,7,2.83
2009,8,3.62
2009,9,3.54
2009,10,2.68
2009,11,2.7
2009,12,2.95
2010,1,3.93
2010,2,3.81
2010,3,4.24
2010,4,3.63
2010,5,4.07
2010,6,3.21
2010,7,3
2010,8,3.1
2010,9,2.73
2010,10,2.95
2010,11,3.55
2010,12,3.51
2011,1,3.79
2011,2,3.48
2011,3,4.08
2011,4,3.37
2011,5,3.42
2011,6,3.37
2011,7,2.88
2011,8,3.06
2011,9,2.58
2011,10,3.16
2011,11,3.37
2011,12,3.06
2012,1,3.04
2012,2,3.21
2012,3,3.57
2012,4,3.82
2012,5,3.49
2012,6,2.96
2012,7,2.52
2012,8,2.73
2012,9,2.4
2012,10,2.38
2012,11,2.67
2012,12,2.87
2013,1,3.21
2013,2,3.01
2013,3,3.02
2013,4,3.2
2013,5,3.05
2013,6,2.9
2013,7,2.73
2013,8,2.3
2013,9,2.18
2013,10,2.67
2013,11,2.71
2013,12,2.68
2014,1,2.87
2014,2,3.06
2014,3,3.23
2014,4,3
2014,5,2.57
2014,6,2.51
2014,7,2.13
2014,8,1.55
2014,9,1.77
2014,10,1.9
2014,11,1.76
2014,12,2.44
2015,1,1.97
2015,2,2.53
2015,3,2.29
2015,4,2.17
2015,5,2.4
2015,6,2.13
2015,7,2.1
2015,8,1.66
2015,9,1.53
2015,10,1.52
2015,11,1.52
2015,12,1.94
2016,1,1.58
2016,2,2.13
2016,3,1.89
2016,4,1.87
2016,5,1.61
2016,6,1.9
2016,7,1.69
2016,8,1.39
2016,9,1.31
2016,10,1.55
2016,11,1.72
2016,12,1.72
2017,1,1.16
2017,2,1.38
2017,3,1.59
2017,4,1.23
2017,5,1.61
2017,6,1.19
2017,7,0.57
2017,8,0.55
2017,9,0.66
2017,10,0.61
2017,11,0.64
2017,12,1.55
2018,1,1.05
2018,2,1.33
2018,3,1.64
2018,4,1.45
2018,5,1.34
2018,6,0.9
2018,7,0.24
2018,8,0.36
2018,9,0.24
2018,10,0.46
2018,11,0.64
2018,12,0.61
2019,1,0.63
2019,2,0.76
2019,3,0.73
2019,4,1
2019,5,0.5
2019,6,0.51
2019,7,0.12
2019,8,0.1
2019,9,0.3
2019,10,0.12
2019,11,0.39
2019,12,0.44
2020,1,0.65
2020,2,1.62
2020,3,0.74
2020,4,1.87
2020,5,1.37
2020,6,0.71
2020,7,1.27
2020,8,0.1
2020,9,0.1
2020,10,1.26
2020,11,0.51
2020,12,0.6
2021,1,1.28
2021,2,1.53
2021,3,0.55
2021,4,1.28
2021,5,1.29
2021,6,0.64
2021,7,0.35
2021,8,0.1
2021,9,0.1
2021,10,0.1
2021,11,0.34
2021,12,0.98
2022,1,3.9
2022,2,2.9
2022,3,3.63
2022,4,2.47
2022,5,3.13
2022,6,3.37
2022,7,0.71
2022,8,2.73
2022,9,2.15
2022,10,2.5
2022,11,1.54
2022,12,2.34
2023,1,1.44
2023,2,3.74
2023,3,1.82
2023,4,1.75
2023,5,3.12
2023,6,2.25
2023,7,0.89
2023,8,1.65
2023,9,1.57
2023,10,2.63
2023,11,0.92
2023,12,2.51
