Year,Month,Value
2000,1,6.25
2000,2,5.79
2000,3,6.96
2000,4,6.64
2000,5,6.29
2000,6,5.06
2000,7,4.55
2000,8,4.97
2000,9,5.85
2000,10,5.55
2000,11,5.05
2000,12,5.8
2001,1,6.42
2001,2,5.64
2001,3,6.81
2001,4,6.77
2001,5,6.26
2001,6,6.84
2001,7,4.75
2001,8,5.03
2001,9,5.45
2001,10,4.81
2001,11,4.67
2001,12,6.64
2002,1,5.92
2002,2,6.39
2002,3,6.94
2002,4,7.27
2002,5,5.93
2002,6,6.84
2002,7,5.47
2002,8,4.93
2002,9,6.16
2002,10,5.31
2002,11,6.17
2002,12,6.06
2003,1,6.43
2003,2,7.85
2003,3,7.1
2003,4,7.72
2003,5,6.1
2003,6,6.56
2003,7,5.82
2003,8,5.86
2003,9,6.84
2003,10,6.94
2003,11,6.76
2003,12,6.13
2004,1,6.22
2004,2,8.19
2004,3,7.61
2004,4,6.45
2004,5,7.03
2004,6,6.57
2004,7,6.58
2004,8,6.46
2004,9,7.06
2004,10,6.51
2004,11,7.09
2004,12,7.22
2005,1,7.27
2005,2,7.44
2005,3,7.48
2005,4,7.08
2005,5,7.44
2005,6,6.63
2005,7,7.91
2005,8,7.07
2005,9,6.23
2005,10,6.68
2005,11,6.86
2005,12,7.84
2006,1,8.35
2006,2,8.55
2006,3,8.6
2006,4,7.18
2006,5,8.52
2006,6,7.16
2006,7,7.27
2006,8,7.79
2006,9,7.28
2006,10,6.72
2006,11,7.33
2006,12,7.97
2007,1,8.52
2007,2,8.24
2007,3,7.97
2007,4,7.14
2007,5,7
2007,6,7.37
2007,7,7.24
2007,8,7.97
2007,9,7.49
2007,10,6.57
2007,11,7.69
2007,12,6.95
2008,1,7.7
2008,2,8.17
2008,3,7.56
2008,4,8.42
2008,5,6.89
2008,6,6.62
2008,7,7.77
2008,8,7.03
2008,9,7.77
2008,10,6.06
2008,11,7.73
2008,12,8.07
2009,1,7.83
2009,2,8.02
2009,3,7.63
2009,4,6.86
2009,5,9.05
2009,6,7.9
2009,7,8.14
2009,8,7.54
2009,9,6.92
2009,10,5.47
2009,11,6.77
2009,12,7.67
2010,1,6.87
2010,2,7.7
2010,3,7.15
2010,4,7.63
2010,5,7.94
2010,6,7.05
2010,7,7.05
2010,8,7.83
2010,9,7.64
2010,10,7.45
2010,11,7.44
2010,12,7.68
2011,1,6.66
2011,2,6.84
2011,3,6.66
2011,4,6.77
2011,5,8.12
2011,6,6.16
2011,7,6.35
2011,8,6.02
2011,9,7.54
2011,10,6.9
2011,11,7.04
2011,12,7.27
2012,1,6.8
2012,2,7.14
2012,3,7.93
2012,4,8.12
2012,5,6.72
2012,6,7.81
2012,7,6.09
2012,8,6.69
2012,9,5.95
2012,10,6.33
2012,11,6.32
2012,12,6.37
2013,1,7.66
2013,2,7.22
2013,3,6.85
2013,4,6.33
2013,5,7.41
2013,6,5.96
2013,7,6.02
2013,8,6.05
2013,9,5.99
2013,10,6.53
2013,11,6.78
2013,12,5.61
2014,1,7.15
2014,2,5.75
2014,3,6.32
2014,4,5.96
2014,5,6.09
2014,6,6.68
2014,7,6.19
2014,8,6.06
2014,9,5.26
2014,10,6.7
2014,11,5.99
2014,12,6.76
2015,1,5.88
2015,2,6.95
2015,3,6.14
2015,4,5.35
2015,5,6.44
2015,6,5.41
2015,7,4.61
2015,8,5.34
2015,9,6.05
2015,10,5.74
2015,11,5.27
2015,12,5.96
2016,1,5.01
2016,2,4.85
2016,3,6.07
2016,4,6.77
2016,5,6.4
2016,6,5.7
2016,7,5.41
2016,8,5.01
2016,9,4.35
2016,10,5.37
2016,11,5.62
2016,12,5.63
2017,1,6.09
2017,2,4.78
2017,3,6.05
2017,4,6.4
2017,5,5
2017,6,5.54
2017,7,3.79
2017,8,5.44
2017,9,5.19
2017,10,5.24
2017,11,4.96
2017,12,4.15
2018,1,4.21
2018,2,5.92
2018,3,4.82
2018,4,5.03
2018,5,4.27
2018,6,4.95
2018,7,4.66
2018,8,3.55
2018,9,4.16
2018,10,3.51
2018,11,5.31
2018,12,5.41
2019,1,4.86
2019,2,4.99
2019,3,5
2019,4,5.33
2019,5,4.87
2019,6,3.81
2019,7,3.08
2019,8,4.12
2019,9,3.74
2019,10,4.45
2019,11,3.27
2019,12,4.57
2020,1,5.41
2020,2,4.71
2020,3,5.48
2020,4,5.33
2020,5,6.19
2020,6,4.39
2020,7,4.38
2020,8,4.46
2020,9,4.22
2020,10,5.41
2020,11,5.13
2020,12,4.77
2021,1,5.13
2021,2,4.26
2021,3,5.93
2021,4,4.36
2021,5,5.29
2021,6,5.79
2021,7,4.97
2021,8,2.72
2021,9,4.8
2021,10,4.23
2021,11,5.01
2021,12,3.33
2022,1,7
2022,2,5.21
2022,3,5.53
2022,4,5.01
2022,5,7.48
2022,6,5.4
2022,7,5.49
2022,8,5.51
2022,9,5.75
2022,10,5.27
2022,11,7.36
2022,12,5.35
2023,1,5.9
2023,2,6.51
2023,3,7.69
2023,4,6.1
2023,5,6.75
2023,6,6.58
2023,7,5.92
2023,8,6.5
2023,9,5.98
2023,10,5.99
2023,11,5.72
2023,12,5.67
