Year,Month,Value
2000,1,1.72
2000,2,2.54
2000,3,2.45
2000,4,1.81
2000,5,1.63
2000,6,2.37
2000,7,1.88
2000,8,1.71
2000,9,0.97
2000,10,1.25
2000,11,1.73
2000,12,1.99
2001,1,1.99
2001,2,2.72
2001,3,2.42
2001,4,2.76
2001,5,2.73
2001,6,2.09
2001,7,2.49
2001,8,1.8
2001,9,1.76
2001,10,1.8
2001,11,1.77
2001,12,1.94
2002,1,3.27
2002,2,2.9
2002,3,3.66
2002,4,3.2
2002,5,3.41
2002,6,2.71
2002,7,2.71
2002,8,1.6
2002,9,1.97
2002,10,2
2002,11,2.79
2002,12,2.51
2003,1,2.94
2003,2,3.03
2003,3,4.1
2003,4,2.81
2003,5,3.44
2003,6,3.54
2003,7,2.65
2003,8,2.04
2003,9,2.6
2003,10,2.65
2003,11,3.29
2003,12,2.54
2004,1,3.85
2004,2,4.22
2004,3,3.69
2004,4,3.35
2004,5,3.69
2004,6,3.9
2004,7,3.36
2004,8,2.52
2004,9,3.09
2004,10,2.32
2004,11,2.95
2004,12,3.53
2005,1,3.79
2005,2,3.71
2005,3,4.03
2005,4,3.38
2005,5,4.38
2005,6,3.08
2005,7,2.79
2005,8,3.59
2005,9,3.7
2005,10,3.37
2005,11,3.46
2005,12,4.13
2006,1,4.59
2006,2,3.94
2006,3,4.58
2006,4,3.96
2006,5,4.13
2006,6,3.28
2006,7,4.02
2006,8,2.79
2006,9,2.67
2006,10,3.83
2006,11,3.3
2006,12,3.54
2007,1,4.65
2007,2,3.7
2007,3,4.41
2007,4,4.75
2007,5,3.5
2007,6,3.44
2007,7,4.11
2007,8,3.04
2007,9,3.35
2007,10,3.21
2007,11,3.82
2007,12,3.31
2008,1,5.38
2008,2,3.91
2008,3,4.79
2008,4,4.46
2008,5,2.92
2008,6,4.78
2008,7,3.66
2008,8,4.16
2008,9,4.54
2008,10,4.35
2008,11,4.77
2008,12,3.86
2009,1,3.55
2009,2,4.54
2009,3,3.96
2009,4,5.11
2009,5,4.45
2009,6,2.78
2009,7,3.71
2009,8,2.9
2009,9,4.12
2009,10,3.09
2009,11,4.2
2009,12,5.45
2010,1,4.21
2010,2,3.58
2010,3,4.2
2010,4,3.98
2010,5,3.41
2010,6,3.08
2010,7,2.92
2010,8,2.74
2010,9,3.34
2010,10,3.18
2010,11,3.59
2010,12,3.87
2011,1,3.22
2011,2,4.11
2011,3,3.78
2011,4,4.04
2011,5,3.51
2011,6,3.31
2011,7,3.87
2011,8,2.82
2011,9,2.75
2011,10,3.1
2011,11,3.72
2011,12,3.48
2012,1,3.21
2012,2,4.02
2012,3,4
2012,4,4.02
2012,5,3.85
2012,6,3.86
2012,7,2.96
2012,8,2.93
2012,9,2.21
2012,10,2.25
2012,11,3.53
2012,12,2.95
2013,1,3.8
2013,2,2.82
2013,3,3.91
2013,4,3.08
2013,5,3.46
2013,6,3.33
2013,7,2.57
2013,8,2.5
2013,9,2.46
2013,10,2.16
2013,11,2.5
2013,12,3.53
2014,1,2.47
2014,2,3.47
2014,3,3.11
2014,4,2.94
2014,5,2.55
2014,6,2.17
2014,7,2.65
2014,8,1.52
2014,9,2.12
2014,10,2.6
2014,11,1.84
2014,12,2.42
2015,1,3.08
2015,2,3.11
2015,3,2.84
2015,4,2.95
2015,5,2.86
2015,6,1.96
2015,7,1.65
2015,8,1.43
2015,9,1.55
2015,10,1.96
2015,11,2.29
2015,12,2.01
2016,1,1.84
2016,2,1.86
2016,3,2.35
2016,4,2.24
2016,5,2.35
2016,6,1.18
2016,7,2.1
2016,8,1.04
2016,9,1.5
2016,10,1.26
2016,11,1.18
2016,12,1.25
2017,1,1
2017,2,1.87
2017,3,1.71
2017,4,1.6
2017,5,1.01
2017,6,1.03
2017,7,0.82
2017,8,1.47
2017,9,1.35
2017,10,0.86
2017,11,1
2017,12,1.11
2018,1,1.34
2018,2,1.83
2018,3,1.35
2018,4,1.28
2018,5,1.65
2018,6,1.16
2018,7,0.79
2018,8,0.32
2018,9,0.91
2018,10,0.46
2018,11,0.26
2018,12,0.59
2019,1,0.31
2019,2,1.26
2019,3,1.05
2019,4,0.5
2019,5,0.95
2019,6,0.56
2019,7,0.57
2019,8,0.78
2019,9,0.1
2019,10,0.1
2019,11,0.43
2019,12,0.78
2020,1,2.06
2020,2,1.37
2020,3,1.26
2020,4,2.08
2020,5,1.45
2020,6,1.34
2020,7,0.1
2020,8,1.37
2020,9,0.6
2020,10,0.41
2020,11,0.85
2020,12,1.47
2021,1,0.99
2021,2,1.51
2021,3,0.81
2021,4,0.13
2021,5,1.94
2021,6,0.9
2021,7,0.51
2021,8,0.1
2021,9,0.16
2021,10,0.1
2021,11,0.21
2021,12,1.46
2022,1,3.47
2022,2,2.67
2022,3,1.32
2022,4,1.54
2022,5,3.99
2022,6,3.07
2022,7,0.94
2022,8,2.75
2022,9,2.42
2022,10,1.98
2022,11,3.49
2022,12,1.77
2023,1,0.85
2023,2,2.47
2023,3,2.61
2023,4,1.05
2023,5,2.06
2023,6,4.01
2023,7,2.15
2023,8,1.39
2023,9,1.24
2023,10,3.14
2023,11,2.75
2023,12,4.45
