Year,Month,Value
2000,1,2.3
2000,2,2.78
2000,3,2.22
2000,4,2.65
2000,5,2.45
2000,6,2.27
2000,7,1.94
2000,8,1.67
2000,9,1.85
2000,10,1.76
2000,11,2.24
2000,12,1.57
2001,1,2.76
2001,2,2.61
2001,3,3.18
2001,4,3.31
2001,5,3.12
2001,6,2.57
2001,7,2.23
2001,8,2.12
2001,9,1.43
2001,10,1.87
2001,11,2.45
2001,12,2.02
2002,1,3.06
2002,2,3
2002,3,2.99
2002,4,3.24
2002,5,2.75
2002,6,2.36
2002,7,2.13
2002,8,2.57
2002,9,2.55
2002,10,2.51
2002,11,2.26
2002,12,2.64
2003,1,3.51
2003,2,3.99
2003,3,3.76
2003,4,3.17
2003,5,3.39
2003,6,2.73
2003,7,2.77
2003,8,2.86
2003,9,2.21
2003,10,2.98
2003,11,3.18
2003,12,3.63
2004,1,3.43
2004,2,3.66
2004,3,3.57
2004,4,3.77
2004,5,4.03
2004,6,3.88
2004,7,3.65
2004,8,3.23
2004,9,2.8
2004,10,2.53
2004,11,3.39
2004,12,2.96
2005,1,4.08
2005,2,3.93
2005,3,4.21
2005,4,3.76
2005,5,4.22
2005,6,3.95
2005,7,3.55
2005,8,2.78
2005,9,3.24
2005,10,3.55
2005,11,3.53
2005,12,4.15
2006,1,3.66
2006,2,3.82
2006,3,4.48
2006,4,3.94
2006,5,4.02
2006,6,4.13
2006,7,3.46
2006,8,3.65
2006,9,3.25
2006,10,3.35
2006,11,3.23
2006,12,3.56
2007,1,4.67
2007,2,4.73
2007,3,4.29
2007,4,4.87
2007,5,4.02
2007,6,3.98
2007,7,4.11
2007,8,3.5
2007,9,3.27
2007,10,3.78
2007,11,3.49
2007,12,4.26
2008,1,4.14
2008,2,4.85
2008,3,4.4
2008,4,4.82
2008,5,3.83
2008,6,5.16
2008,7,4.35
2008,8,3.74
2008,9,3.7
2008,10,3.22
2008,11,4.54
2008,12,4.29
2009,1,3.67
2009,2,4.14
2009,3,4.37
2009,4,4.82
2009,5,5.68
2009,6,3.74
2009,7,3.92
2009,8,3.43
2009,9,3.96
2009,10,2.85
2009,11,4.47
2009,12,4.49
2010,1,4.19
2010,2,4.19
2010,3,3.84
2010,4,3.96
2010,5,3.95
2010,6,4.32
2010,7,4.03
2010,8,3.1
2010,9,3.57
2010,10,3.07
2010,11,4.01
2010,12,3.97
2011,1,3.99
2011,2,3.98
2011,3,4.59
2011,4,4.42
2011,5,3.72
2011,6,3.17
2011,7,3
2011,8,3.05
2011,9,3.2
2011,10,2.94
2011,11,3.41
2011,12,4.05
2012,1,3.87
2012,2,3.48
2012,3,3.97
2012,4,3.58
2012,5,3.67
2012,6,3.71
2012,7,3.37
2012,8,2.74
2012,9,2.49
2012,10,3.32
2012,11,3.19
2012,12,3.45
2013,1,3.21
2013,2,3.96
2013,3,3.64
2013,4,3.45
2013,5,3.21
2013,6,3.33
2013,7,3.22
2013,8,2.84
2013,9,2.97
2013,10,2.59
2013,11,3.02
2013,12,3.1
2014,1,2.89
2014,2,3.57
2014,3,3.61
2014,4,3.27
2014,5,2.91
2014,6,2.77
2014,7,2.76
2014,8,2.34
2014,9,2.47
2014,10,1.83
2014,11,2.77
2014,12,2.67
2015,1,2.51
2015,2,2.78
2015,3,2.63
2015,4,2.72
2015,5,2.58
2015,6,2.3
2015,7,1.77
2015,8,2.29
2015,9,2.14
2015,10,1.7
2015,11,2.15
2015,12,2.49
2016,1,2.18
2016,2,2.41
2016,3,1.97
2016,4,2.76
2016,5,2.6
2016,6,1.78
2016,7,1.82
2016,8,1.05
2016,9,1.83
2016,10,0.97
2016,11,1.36
2016,12,1.42
2017,1,1.49
2017,2,2.27
2017,3,2.34
2017,4,1.71
2017,5,2.12
2017,6,1.74
2017,7,1.52
2017,8,1.15
2017,9,0.89
2017,10,1.1
2017,11,1.21
2017,12,1.63
2018,1,1.69
2018,2,1.05
2018,3,1.7
2018,4,1.11
2018,5,1.38
2018,6,1.4
2018,7,0.63
2018,8,0.67
2018,9,0.47
2018,10,0.71
2018,11,0.96
2018,12,1.53
2019,1,0.74
2019,2,1.38
2019,3,1.52
2019,4,1.37
2019,5,1.18
2019,6,0.75
2019,7,0.72
2019,8,0.74
2019,9,0.4
2019,10,0.1
2019,11,0.19
2019,12,0.42
2020,1,2.08
2020,2,0.98
2020,3,2.61
2020,4,1.46
2020,5,1.56
2020,6,1.26
2020,7,0.78
2020,8,0.53
2020,9,0.97
2020,10,1.77
2020,11,1.01
2020,12,1.02
2021,1,1.15
2021,2,1.74
2021,3,0.89
2021,4,2.09
2021,5,0.6
2021,6,1.82
2021,7,0.1
2021,8,0.93
2021,9,0.11
2021,10,1.11
2021,11,0.57
2021,12,0.38
2022,1,3.25
2022,2,2.85
2022,3,4.1
2022,4,4.65
2022,5,2.05
2022,6,1.49
2022,7,2.23
2022,8,2.79
2022,9,2.05
2022,10,3.49
2022,11,3.1
2022,12,1.41
2023,1,2.39
2023,2,2.22
2023,3,3.36
2023,4,4.01
2023,5,1.79
2023,6,2.68
2023,7,2.64
2023,8,3.64
2023,9,1.97
2023,10,1.02
2023,11,0.91
2023,12,1.14
