Year,Month,Value
2000,1,2.69
2000,2,2.78
2000,3,2.41
2000,4,2.39
2000,5,3.01
2000,6,2.51
2000,7,2.1
2000,8,1.62
2000,9,2.17
2000,10,1.64
2000,11,1.69
2000,12,2.11
2001,1,2.58
2001,2,3.32
2001,3,3.07
2001,4,2.65
2001,5,2.93
2001,6,3.04
2001,7,2.56
2001,8,1.8
2001,9,1.79
2001,10,1.95
2001,11,2.56
2001,12,2.89
2002,1,3.17
2002,2,3.71
2002,3,3.86
2002,4,3.85
2002,5,3.69
2002,6,2.74
2002,7,2.87
2002,8,2.86
2002,9,2.62
2002,10,2.66
2002,11,2.81
2002,12,2.78
2003,1,3.71
2003,2,4.04
2003,3,4.22
2003,4,3.71
2003,5,3.62
2003,6,3.24
2003,7,2.81
2003,8,3.17
2003,9,2.51
2003,10,2.91
2003,11,2.75
2003,12,2.97
2004,1,4.29
2004,2,3.94
2004,3,3.78
2004,4,3.69
2004,5,4.08
2004,6,3.28
2004,7,3.65
2004,8,3.18
2004,9,3.63
2004,10,2.95
2004,11,3.15
2004,12,4.19
2005,1,3.88
2005,2,4.23
2005,3,4
2005,4,4.21
2005,5,4.68
2005,6,4.38
2005,7,3.27
2005,8,3.15
2005,9,3.42
2005,10,3.43
2005,11,3.87
2005,12,3.62
2006,1,4.51
2006,2,4.29
2006,3,4.26
2006,4,4.9
2006,5,4.37
2006,6,4.1
2006,7,4.2
2006,8,4.21
2006,9,3.62
2006,10,3.62
2006,11,4.01
2006,12,4.35
2007,1,4.53
2007,2,4.32
2007,3,5.06
2007,4,4.2
2007,5,4.1
2007,6,4.23
2007,7,3.96
2007,8,3.74
2007,9,3.32
2007,10,4.02
2007,11,4.1
2007,12,4.02
2008,1,5.06
2008,2,4.59
2008,3,4.76
2008,4,5.01
2008,5,4.18
2008,6,3.56
2008,7,4.94
2008,8,3.97
2008,9,3.62
2008,10,4.47
2008,11,3.89
2008,12,4.03
2009,1,5.07
2009,2,4.22
2009,3,4.26
2009,4,4.02
2009,5,4.2
2009,6,3.87
2009,7,4.45
2009,8,4.12
2009,9,3.61
2009,10,3.29
2009,11,3.5
2009,12,3.98
2010,1,4.5
2010,2,4.28
2010,3,4.31
2010,4,4.49
2010,5,4.19
2010,6,4.03
2010,7,4.36
2010,8,3.79
2010,9,3.34
2010,10,3.5
2010,11,3.76
2010,12,4.24
2011,1,3.8
2011,2,4.34
2011,3,4.16
2011,4,4.57
2011,5,4.37
2011,6,3.82
2011,7,3.17
2011,8,3.62
2011,9,3.19
2011,10,3.79
2011,11,4.11
2011,12,3.86
2012,1,4.09
2012,2,4.39
2012,3,4.16
2012,4,3.96
2012,5,4
2012,6,3.92
2012,7,3.79
2012,8,2.8
2012,9,3.13
2012,10,3.7
2012,11,3.57
2012,12,3.93
2013,1,3.15
2013,2,4.25
2013,3,3.63
2013,4,3.33
2013,5,3.83
2013,6,3.72
2013,7,3.49
2013,8,3.37
2013,9,2.43
2013,10,2.64
2013,11,2.74
2013,12,3.36
2014,1,2.9
2014,2,3.71
2014,3,3.88
2014,4,2.95
2014,5,3.48
2014,6,3.35
2014,7,2.85
2014,8,2.09
2014,9,2.09
2014,10,2.67
2014,11,2.26
2014,12,3.1
2015,1,2.77
2015,2,2.97
2015,3,3.29
2015,4,3.41
2015,5,3.11
2015,6,3.03
2015,7,2.15
2015,8,2.36
2015,9,1.63
2015,10,1.99
2015,11,2.81
2015,12,2.41
2016,1,2.9
2016,2,2.79
2016,3,2.19
2016,4,2.8
2016,5,2.81
2016,6,2.48
2016,7,2.18
2016,8,1.55
2016,9,1.79
2016,10,2.15
2016,11,2.1
2016,12,2.38
2017,1,2.32
2017,2,2.37
2017,3,1.88
2017,4,2.3
2017,5,2.01
2017,6,1.44
2017,7,1.2
2017,8,1.44
2017,9,1.27
2017,10,1.69
2017,11,1.77
2017,12,1.7
2018,1,2.13
2018,2,1.43
2018,3,2.16
2018,4,1.55
2018,5,1.88
2018,6,1.73
2018,7,1.19
2018,8,0.6
2018,9,0.71
2018,10,1.29
2018,11,0.85
2018,12,1.76
2019,1,1.47
2019,2,1.27
2019,3,1.08
2019,4,1.35
2019,5,1.5
2019,6,0.87
2019,7,0.95
2019,8,0.68
2019,9,0.68
2019,10,0.39
2019,11,0.77
2019,12,1.33
2020,1,2.31
2020,2,1.58
2020,3,2.28
2020,4,2.63
2020,5,1.31
2020,6,2
2020,7,1.65
2020,8,1.48
2020,9,0.32
2020,10,0.56
2020,11,0.94
2020,12,2.71
2021,1,1.48
2021,2,0.55
2021,3,1.1
2021,4,1.73
2021,5,1.43
2021,6,1.19
2021,7,1.46
2021,8,0.55
2021,9,0.1
2021,10,0.8
2021,11,1.54
2021,12,0.55
2022,1,2.13
2022,2,3.06
2022,3,2.04
2022,4,1.62
2022,5,1.88
2022,6,1.77
2022,7,3.67
2022,8,0.92
2022,9,3.42
2022,10,4.29
2022,11,3.52
2022,12,3.39
2023,1,1.72
2023,2,4.91
2023,3,3.53
2023,4,3.32
2023,5,1.91
2023,6,2.6
2023,7,1.38
2023,8,2.64
2023,9,2.53
2023,10,1.73
2023,11,2.31
2023,12,2.66
