Year,Month,Value
2000,1,2.21
2000,2,2.61
2000,3,2.51
2000,4,2.08
2000,5,1.95
2000,6,1.8
2000,7,1.89
2000,8,1.82
2000,9,1.02
2000,10,1.81
2000,11,1.56
2000,12,1.69
2001,1,2.69
2001,2,2.51
2001,3,3.06
2001,4,2.91
2001,5,2.32
2001,6,2.54
2001,7,1.65
2001,8,1.7
2001,9,1.41
2001,10,1.72
2001,11,1.98
2001,12,2.45
2002,1,2.67
2002,2,2.96
2002,3,3.46
2002,4,2.98
2002,5,2.77
2002,6,2.96
2002,7,2.67
2002,8,2.54
2002,9,2.33
2002,10,2.16
2002,11,2.45
2002,12,2.55
2003,1,3.11
2003,2,3.61
2003,3,3.7
2003,4,3.55
2003,5,3.61
2003,6,2.95
2003,7,3.05
2003,8,2.48
2003,9,2.17
2003,10,2.54
2003,11,2.95
2003,12,3
2004,1,3.52
2004,2,3.91
2004,3,3.74
2004,4,4.13
2004,5,3.19
2004,6,3.26
2004,7,3.26
2004,8,2.6
2004,9,2.71
2004,10,2.72
2004,11,2.71
2004,12,3.51
2005,1,3.79
2005,2,4.18
2005,3,4.08
2005,4,4.09
2005,5,4.11
2005,6,3.85
2005,7,3
2005,8,2.75
2005,9,2.92
2005,10,2.78
2005,11,3.45
2005,12,3.87
2006,1,4.33
2006,2,4.06
2006,3,4.3
2006,4,4.05
2006,5,3.94
2006,6,3.77
2006,7,3.73
2006,8,3.09
2006,9,3.05
2006,10,3.36
2006,11,3.35
2006,12,3.99
2007,1,4.28
2007,2,4.12
2007,3,4.55
2007,4,4.17
2007,5,3.99
2007,6,3.56
2007,7,3.82
2007,8,3.11
2007,9,3.42
2007,10,3.61
2007,11,3.94
2007,12,3.53
2008,1,3.85
2008,2,4.54
2008,3,4.79
2008,4,3.75
2008,5,4.68
2008,6,3.34
2008,7,3.17
2008,8,3.59
2008,9,3.14
2008,10,2.19
2008,11,3.36
2008,12,3.39
2009,1,4.56
2009,2,4.94
2009,3,5.01
2009,4,3.62
2009,5,3.28
2009,6,4.69
2009,7,3.7
2009,8,3.8
2009,9,2.9
2009,10,3.59
2009,11,3.47
2009,12,4.87
2010,1,3.95
2010,2,3.99
2010,3,4.03
2010,4,4.23
2010,5,4.16
2010,6,4.08
2010,7,3.58
2010,8,3.06
2010,9,3.44
2010,10,3.34
2010,11,3.55
2010,12,3.51
2011,1,3.84
2011,2,3.74
2011,3,3.72
2011,4,3.91
2011,5,3.93
2011,6,3.2
2011,7,3.11
2011,8,3.44
2011,9,2.66
2011,10,3.17
2011,11,3.31
2011,12,3.39
2012,1,3.16
2012,2,3.6
2012,3,3.8
2012,4,4.06
2012,5,3.39
2012,6,3.03
2012,7,3.18
2012,8,3.06
2012,9,2.72
2012,10,2.78
2012,11,3.11
2012,12,3.33
2013,1,3.19
2013,2,3.48
2013,3,3.14
2013,4,3.34
2013,5,3.03
2013,6,2.68
2013,7,2.87
2013,8,2.86
2013,9,2.6
2013,10,2.35
2013,11,2.4
2013,12,2.85
2014,1,3.12
2014,2,2.82
2014,3,3.06
2014,4,2.86
2014,5,2.82
2014,6,2.87
2014,7,2.68
2014,8,2.42
2014,9,2.33
2014,10,2.15
2014,11,2.65
2014,12,2.67
2015,1,2.04
2015,2,2.72
2015,3,2.56
2015,4,2.88
2015,5,2.2
2015,6,2.33
2015,7,1.55
2015,8,2.07
2015,9,2.05
2015,10,1.53
2015,11,2.11
2015,12,2.32
2016,1,1.67
2016,2,2.56
2016,3,2.41
2016,4,2.31
2016,5,1.82
2016,6,2.03
2016,7,1.76
2016,8,1.38
2016,9,1.27
2016,10,1.68
2016,11,1.64
2016,12,1.53
2017,1,1.3
2017,2,1.88
2017,3,1.91
2017,4,1.83
2017,5,1.75
2017,6,1.55
2017,7,1.27
2017,8,1.33
2017,9,0.78
2017,10,1.2
2017,11,0.9
2017,12,1.47
2018,1,1.02
2018,2,1.56
2018,3,1.15
2018,4,1.5
2018,5,1.06
2018,6,0.98
2018,7,0.85
2018,8,0.57
2018,9,0.74
2018,10,0.77
2018,11,0.5
2018,12,1.01
2019,1,0.74
2019,2,0.86
2019,3,0.87
2019,4,0.75
2019,5,0.79
2019,6,0.45
2019,7,0.45
2019,8,0.1
2019,9,0.3
2019,10,0.47
2019,11,0.62
2019,12,1.05
2020,1,1.05
2020,2,1.13
2020,3,1.57
2020,4,0.6
2020,5,1.36
2020,6,1.4
2020,7,0.95
2020,8,0.72
2020,9,0.1
2020,10,0.17
2020,11,1.49
2020,12,0.93
2021,1,0.74
2021,2,0.75
2021,3,0.95
2021,4,0.8
2021,5,1.33
2021,6,1.9
2021,7,1.07
2021,8,0.6
2021,9,0.1
2021,10,0.42
2021,11,1.14
2021,12,0.1
2022,1,2.93
2022,2,3.92
2022,3,2.58
2022,4,4.14
2022,5,1.5
2022,6,3.77
2022,7,0.86
2022,8,3.29
2022,9,2.07
2022,10,1.09
2022,11,3.55
2022,12,1.14
2023,1,1.83
2023,2,1.95
2023,3,1.21
2023,4,3.27
2023,5,2.3
2023,6,2.38
2023,7,3.23
2023,8,0.86
2023,9,1.39
2023,10,1.96
2023,11,2.31
2023,12,4.25
