Year,Month,Value
2000,1,2.49
2000,2,2.27
2000,3,2.69
2000,4,2.13
2000,5,2.02
2000,6,2.02
2000,7,1.91
2000,8,1.8
2000,9,1.74
2000,10,1.54
2000,11,1.39
2000,12,2.08
2001,1,2.96
2001,2,3.28
2001,3,2.63
2001,4,3.26
2001,5,2.35
2001,6,2.57
2001,7,1.78
2001,8,2.17
2001,9,2.31
2001,10,1.6
2001,11,2.4
2001,12,2.41
2002,1,3.12
2002,2,3.37
2002,3,2.97
2002,4,3.54
2002,5,2.7
2002,6,2.33
2002,7,2.96
2002,8,2.36
2002,9,2.67
2002,10,2.72
2002,11,2.9
2002,12,2.56
2003,1,3.21
2003,2,3.89
2003,3,3.26
2003,4,3.95
2003,5,3.66
2003,6,2.69
2003,7,2.56
2003,8,2.63
2003,9,2.61
2003,10,3.11
2003,11,3.08
2003,12,3.09
2004,1,3.67
2004,2,3.89
2004,3,4.24
2004,4,3.8
2004,5,3.53
2004,6,3.86
2004,7,3.32
2004,8,2.6
2004,9,2.62
2004,10,2.65
2004,11,3.36
2004,12,3.39
2005,1,4.31
2005,2,4.24
2005,3,3.75
2005,4,3.82
2005,5,3.53
2005,6,3.79
2005,7,3.25
2005,8,3.11
2005,9,3.23
2005,10,3.61
2005,11,3.12
2005,12,3.96
2006,1,4.28
2006,2,4.33
2006,3,4.34
2006,4,4.69
2006,5,4.33
2006,6,3.59
2006,7,3.55
2006,8,3.23
2006,9,2.92
2006,10,3.71
2006,11,3.65
2006,12,4.09
2007,1,4.28
2007,2,3.99
2007,3,4.26
2007,4,4.85
2007,5,4.22
2007,6,3.89
2007,7,3.98
2007,8,3.84
2007,9,3.77
2007,10,3.7
2007,11,3.85
2007,12,3.79
2008,1,5.09
2008,2,5.19
2008,3,4.38
2008,4,3.73
2008,5,4.67
2008,6,3.13
2008,7,4.52
2008,8,3.26
2008,9,3.95
2008,10,3.96
2008,11,3.37
2008,12,4.58
2009,1,3.88
2009,2,4.67
2009,3,3.26
2009,4,4.72
2009,5,4.27
2009,6,4.52
2009,7,4.36
2009,8,2.99
2009,9,3.63
2009,10,4.24
2009,11,3.84
2009,12,4.1
2010,1,3.88
2010,2,4.08
2010,3,4.38
2010,4,3.85
2010,5,4.06
2010,6,4.01
2010,7,3.54
2010,8,3.48
2010,9,3.76
2010,10,3.4
2010,11,3.39
2010,12,3.71
2011,1,4.14
2011,2,4.08
2011,3,4.51
2011,4,3.97
2011,5,4.11
2011,6,4.07
2011,7,3.81
2011,8,3.6
2011,9,3.09
2011,10,2.97
2011,11,3.25
2011,12,3.72
2012,1,3.53
2012,2,3.76
2012,3,3.4
2012,4,3.4
2012,5,3.82
2012,6,3.42
2012,7,2.74
2012,8,2.62
2012,9,2.62
2012,10,2.57
2012,11,3.3
2012,12,3.05
2013,1,3.08
2013,2,3.45
2013,3,3.14
2013,4,3.29
2013,5,3.24
2013,6,2.96
2013,7,2.46
2013,8,2.57
2013,9,2.48
2013,10,2.95
2013,11,2.76
2013,12,2.69
2014,1,2.78
2014,2,2.82
2014,3,3.11
2014,4,3.17
2014,5,3.03
2014,6,3.11
2014,7,2.69
2014,8,2.59
2014,9,2.21
2014,10,2.25
2014,11,2.03
2014,12,2.54
2015,1,2.57
2015,2,2.87
2015,3,2.39
2015,4,2.84
2015,5,2.49
2015,6,1.9
2015,7,1.69
2015,8,1.5
2015,9,1.94
2015,10,2.08
2015,11,2.01
2015,12,2.6
2016,1,2.33
2016,2,2.27
2016,3,2.61
2016,4,2.39
2016,5,2.47
2016,6,1.83
2016,7,2.06
2016,8,1.84
2016,9,1.11
2016,10,1.64
2016,11,1.63
2016,12,1.82
2017,1,1.82
2017,2,2.13
2017,3,1.94
2017,4,2.09
2017,5,1.93
2017,6,1.84
2017,7,1.22
2017,8,1.09
2017,9,0.72
2017,10,0.9
2017,11,1.46
2017,12,1.05
2018,1,1
2018,2,1.26
2018,3,1.95
2018,4,1.46
2018,5,1.15
2018,6,1.44
2018,7,0.6
2018,8,0.41
2018,9,0.88
2018,10,1.1
2018,11,0.76
2018,12,0.97
2019,1,0.65
2019,2,1.32
2019,3,1.44
2019,4,0.76
2019,5,1.2
2019,6,0.62
2019,7,0.16
2019,8,0.59
2019,9,0.1
2019,10,0.18
2019,11,0.4
2019,12,0.38
2020,1,1.66
2020,2,1.98
2020,3,1.82
2020,4,1.99
2020,5,2
2020,6,1.22
2020,7,0.17
2020,8,1.54
2020,9,0.92
2020,10,0.66
2020,11,1.3
2020,12,1.62
2021,1,0.97
2021,2,1.44
2021,3,1.88
2021,4,1.44
2021,5,1.17
2021,6,2.15
2021,7,0.93
2021,8,0.82
2021,9,0.2
2021,10,0.1
2021,11,0.1
2021,12,1.43
2022,1,3.43
2022,2,2.9
2022,3,3.9
2022,4,2.24
2022,5,3.23
2022,6,1.56
2022,7,1.06
2022,8,2.39
2022,9,3.23
2022,10,0.85
2022,11,1.9
2022,12,3.41
2023,1,1.27
2023,2,2.43
2023,3,3.66
2023,4,1.29
2023,5,1.47
2023,6,3.51
2023,7,1.94
2023,8,0.61
2023,9,1.84
2023,10,2.7
2023,11,3.42
2023,12,2.71
