Year,Month,Value
2000,1,2.52
2000,2,2.61
2000,3,2.46
2000,4,2.83
2000,5,2.85
2000,6,2.37
2000,7,2.29
2000,8,1.62
2000,9,2.4
2000,10,2.12
2000,11,2.43
2000,12,1.89
2001,1,3.3
2001,2,3.43
2001,3,3.57
2001,4,3.09
2001,5,2.97
2001,6,2.42
2001,7,2.32
2001,8,2.79
2001,9,2.47
2001,10,2.82
2001,11,2.46
2001,12,3.18
2002,1,3.67
2002,2,3.76
2002,3,4.17
2002,4,3.42
2002,5,3.03
2002,6,2.73
2002,7,2.44
2002,8,2.5
2002,9,2.67
2002,10,2.88
2002,11,2.81
2002,12,3.55
2003,1,3.47
2003,2,3.79
2003,3,3.75
2003,4,4.51
2003,5,4.13
2003,6,3.79
2003,7,2.86
2003,8,2.67
2003,9,3.31
2003,10,2.61
2003,11,3.55
2003,12,3.17
2004,1,4.42
2004,2,4.47
2004,3,3.88
2004,4,3.84
2004,5,4.06
2004,6,3.35
2004,7,3.2
2004,8,3.12
2004,9,3.06
2004,10,3.88
2004,11,3.37
2004,12,4.2
2005,1,4.52
2005,2,4.58
2005,3,4.64
2005,4,4.84
2005,5,4.02
2005,6,3.92
2005,7,4.01
2005,8,3.87
2005,9,3.48
2005,10,3.63
2005,11,3.33
2005,12,4.17
2006,1,3.98
2006,2,4.93
2006,3,5.24
2006,4,4.15
2006,5,4.09
2006,6,4.7
2006,7,4.2
2006,8,4.19
2006,9,3.42
2006,10,3.29
2006,11,3.6
2006,12,4.13
2007,1,4.89
2007,2,5.14
2007,3,4.88
2007,4,4.36
2007,5,4.61
2007,6,4.43
2007,7,3.74
2007,8,3.85
2007,9,3.75
2007,10,3.76
2007,11,3.79
2007,12,4.26
2008,1,4.65
2008,2,3.85
2008,3,4.4
2008,4,6.3
2008,5,4.34
2008,6,4.48
2008,7,3.88
2008,8,3.51
2008,9,3.92
2008,10,4.94
2008,11,4.22
2008,12,3.57
2009,1,5.07
2009,2,4.28
2009,3,5.48
2009,4,4.4
2009,5,4.03
2009,6,4.81
2009,7,5.28
2009,8,3.26
2009,9,3.26
2009,10,3.54
2009,11,3.39
2009,12,3.25
2010,1,4.97
2010,2,4.89
2010,3,4.23
2010,4,5.03
2010,5,4.89
2010,6,3.91
2010,7,3.55
2010,8,4.07
2010,9,4.2
2010,10,3.61
2010,11,4.05
2010,12,4.38
2011,1,4.27
2011,2,4.74
2011,3,4.23
2011,4,4.2
2011,5,4.23
2011,6,3.98
2011,7,3.6
2011,8,3.32
2011,9,4.01
2011,10,3.95
2011,11,3.31
2011,12,3.81
2012,1,4.36
2012,2,4.51
2012,3,4.37
2012,4,3.81
2012,5,3.61
2012,6,3.71
2012,7,3.85
2012,8,3.63
2012,9,2.7
2012,10,3.15
2012,11,3.04
2012,12,3.46
2013,1,3.44
2013,2,4.04
2013,3,4.27
2013,4,3.95
2013,5,3.19
2013,6,3.44
2013,7,2.64
2013,8,2.97
2013,9,3.01
2013,10,3.43
2013,11,3.61
2013,12,3.62
2014,1,3.85
2014,2,3.77
2014,3,4.01
2014,4,3.75
2014,5,3.04
2014,6,2.68
2014,7,3.03
2014,8,2.69
2014,9,2.32
2014,10,2.32
2014,11,2.67
2014,12,3.31
2015,1,2.5
2015,2,3.47
2015,3,3.46
2015,4,2.84
2015,5,2.9
2015,6,2.31
2015,7,2.12
2015,8,2.41
2015,9,2.23
2015,10,1.75
2015,11,2.91
2015,12,2.65
2016,1,3.08
2016,2,2.74
2016,3,2.82
2016,4,3.13
2016,5,2.16
2016,6,2.22
2016,7,2.19
2016,8,1.41
2016,9,1.29
2016,10,2.11
2016,11,2.13
2016,12,1.74
2017,1,2.4
2017,2,1.84
2017,3,2.25
2017,4,2.72
2017,5,2.6
2017,6,2.16
2017,7,1.8
2017,8,1.87
2017,9,1.64
2017,10,1.62
2017,11,1.78
2017,12,1.91
2018,1,1.23
2018,2,1.46
2018,3,1.75
2018,4,2.46
2018,5,1.91
2018,6,1.52
2018,7,1.01
2018,8,1.51
2018,9,0.71
2018,10,1.06
2018,11,1.5
2018,12,1.26
2019,1,1.24
2019,2,1.32
2019,3,1.95
2019,4,1.9
2019,5,0.88
2019,6,1.32
2019,7,1.12
2019,8,0.51
2019,9,0.59
2019,10,0.44
2019,11,1.25
2019,12,1.1
2020,1,1.85
2020,2,2.2
2020,3,1.56
2020,4,2.28
2020,5,1.82
2020,6,2.43
2020,7,1.21
2020,8,0.41
2020,9,1.19
2020,10,0.61
2020,11,0.91
2020,12,2.36
2021,1,2.16
2021,2,1.52
2021,3,2.16
2021,4,0.73
2021,5,2.75
2021,6,2.16
2021,7,1.53
2021,8,0.84
2021,9,0.51
2021,10,0.53
2021,11,1.37
2021,12,1.35
2022,1,3.18
2022,2,4.83
2022,3,3.1
2022,4,2.51
2022,5,4.69
2022,6,3.59
2022,7,3.8
2022,8,3.74
2022,9,2.92
2022,10,1.64
2022,11,3.04
2022,12,1.87
2023,1,2.87
2023,2,4.09
2023,3,3.75
2023,4,2.49
2023,5,3.98
2023,6,1.96
2023,7,2.61
2023,8,3.14
2023,9,1.52
2023,10,1.91
2023,11,2.29
2023,12,2.08
