Year,Month,Value
2000,1,6.56
2000,2,8.79
2000,3,8.57
2000,4,6.1
2000,5,6.02
2000,6,8.05
2000,7,6.62
2000,8,6.01
2000,9,6.2
2000,10,7.84
2000,11,6.78
2000,12,8
2001,1,8.92
2001,2,7.28
2001,3,7.2
2001,4,7
2001,5,7.52
2001,6,7.35
2001,7,6.07
2001,8,6.82
2001,9,7.23
2001,10,6.93
2001,11,7.38
2001,12,6.23
2002,1,8.94
2002,2,9.37
2002,3,8.61
2002,4,6.81
2002,5,6.56
2002,6,7.01
2002,7,7.23
2002,8,7.58
2002,9,6.15
2002,10,6.86
2002,11,7.09
2002,12,8.21
2003,1,9.33
2003,2,8.06
2003,3,7.89
2003,4,8.7
2003,5,9.51
2003,6,8.32
2003,7,8.21
2003,8,8.65
2003,9,8.85
2003,10,8.61
2003,11,7.62
2003,12,7.97
2004,1,8.06
2004,2,8.93
2004,3,8.55
2004,4,10.15
2004,5,7.45
2004,6,8.46
2004,7,8.53
2004,8,8.41
2004,9,9.4
2004,10,6.66
2004,11,8.72
2004,12,7.46
2005,1,8.7
2005,2,7.92
2005,3,9.82
2005,4,8.6
2005,5,8.14
2005,6,9.71
2005,7,8.62
2005,8,8.03
2005,9,7.41
2005,10,6.78
2005,11,9.6
2005,12,7.53
2006,1,9.59
2006,2,8.96
2006,3,8.31
2006,4,10.3
2006,5,10.49
2006,6,7.56
2006,7,7.99
2006,8,9.14
2006,9,8.77
2006,10,9.91
2006,11,9.9
2006,12,7.89
2007,1,7.78
2007,2,10.15
2007,3,9.82
2007,4,8.01
2007,5,8.49
2007,6,8.26
2007,7,9.56
2007,8,8.58
2007,9,9.4
2007,10,7.87
2007,11,7.46
2007,12,8.41
2008,1,9.97
2008,2,10.75
2008,3,10.85
2008,4,9.04
2008,5,9.31
2008,6,8.43
2008,7,9.86
2008,8,9.05
2008,9,10.14
2008,10,9.92
2008,11,6.6
2008,12,7.43
2009,1,8.79
2009,2,7.39
2009,3,8.29
2009,4,8.7
2009,5,11.16
2009,6,8.65
2009,7,8.33
2009,8,10.85
2009,9,9.37
2009,10,9.9
2009,11,8.69
2009,12,9.99
2010,1,7.81
2010,2,8.1
2010,3,8.65
2010,4,8.2
2010,5,8.46
2010,6,9.04
2010,7,7.25
2010,8,7.06
2010,9,7.03
2010,10,7.22
2010,11,8.82
2010,12,8.61
2011,1,8.69
2011,2,9.98
2011,3,8.1
2011,4,9.85
2011,5,9.35
2011,6,7.89
2011,7,6.94
2011,8,9.12
2011,9,8.36
2011,10,8.29
2011,11,9.25
2011,12,9.19
2012,1,7.11
2012,2,7.98
2012,3,9.87
2012,4,8.62
2012,5,8.2
2012,6,7.43
2012,7,7.53
2012,8,7.42
2012,9,6.66
2012,10,8.46
2012,11,6.75
2012,12,7.15
2013,1,9.37
2013,2,9.33
2013,3,7.56
2013,4,8.41
2013,5,9.34
2013,6,6.77
2013,7,6.37
2013,8,8.9
2013,9,7.67
2013,10,8.88
2013,11,8.87
2013,12,6.58
2014,1,7.25
2014,2,8.63
2014,3,7.72
2014,4,8.7
2014,5,7.2
2014,6,7.79
2014,7,8.09
2014,8,7.2
2014,9,6.61
2014,10,6.02
2014,11,6.14
2014,12,7.47
2015,1,8.98
2015,2,7.1
2015,3,8.06
2015,4,7.38
2015,5,7.42
2015,6,7.1
2015,7,5.62
2015,8,6.71
2015,9,6.85
2015,10,7.31
2015,11,5.88
2015,12,7.64
2016,1,6.65
2016,2,5.95
2016,3,6.7
2016,4,5.87
2016,5,6.56
2016,6,5.94
2016,7,7.72
2016,8,6.46
2016,9,6.61
2016,10,7.82
2016,11,5.25
2016,12,5.69
2017,1,7.35
2017,2,6.46
2017,3,6.26
2017,4,7.46
2017,5,7.03
2017,6,5.59
2017,7,7
2017,8,6.54
2017,9,7.43
2017,10,7.08
2017,11,6.43
2017,12,5.55
2018,1,5.24
2018,2,7.09
2018,3,5.7
2018,4,7.93
2018,5,5.65
2018,6,6.85
2018,7,7.25
2018,8,7.15
2018,9,4.74
2018,10,4.6
2018,11,6.75
2018,12,6.99
2019,1,5.39
2019,2,5.54
2019,3,4.92
2019,4,6.09
2019,5,6.52
2019,6,6.79
2019,7,4.6
2019,8,5.7
2019,9,6.64
2019,10,5.24
2019,11,6.46
2019,12,6.29
2020,1,4.91
2020,2,6.91
2020,3,7.25
2020,4,5.21
2020,5,4.72
2020,6,6.47
2020,7,7.66
2020,8,3.9
2020,9,4.49
2020,10,4
2020,11,6.93
2020,12,5.75
2021,1,5.8
2021,2,7.59
2021,3,5.56
2021,4,5.82
2021,5,6.98
2021,6,7.02
2021,7,6.46
2021,8,7.53
2021,9,6.37
2021,10,4.8
2021,11,7.5
2021,12,5.73
2022,1,6.95
2022,2,8.37
2022,3,6.9
2022,4,8.14
2022,5,6.74
2022,6,8.35
2022,7,8.45
2022,8,5.98
2022,9,7.13
2022,10,5.96
2022,11,7.65
2022,12,6.93
2023,1,6.57
2023,2,8.71
2023,3,10.28
2023,4,9.3
2023,5,7.94
2023,6,6.39
2023,7,8.93
2023,8,6.8
2023,9,6.22
2023,10,5.3
2023,11,7.4
2023,12,5.44
