Year,Month,Value
2000,1,9.55
2000,2,10.23
2000,3,9.95
2000,4,8.85
2000,5,10.75
2000,6,9.21
2000,7,8.68
2000,8,10.1
2000,9,9.68
2000,10,8.93
2000,11,8.78
2000,12,7.64
2001,1,8.1
2001,2,8.49
2001,3,11.45
2001,4,8.05
2001,5,7.85
2001,6,7.55
2001,7,10.85
2001,8,10.73
2001,9,9.79
2001,10,6.99
2001,11,10.26
2001,12,8.21
2002,1,11.58
2002,2,8.22
2002,3,11.8
2002,4,10.87
2002,5,9.94
2002,6,10.75
2002,7,10.68
2002,8,8.57
2002,9,9.83
2002,10,10.19
2002,11,11.39
2002,12,10.72
2003,1,9.53
2003,2,10.69
2003,3,8.82
2003,4,11.39
2003,5,10.54
2003,6,11.98
2003,7,10.83
2003,8,8.51
2003,9,11.44
2003,10,11.6
2003,11,9.78
2003,12,12.02
2004,1,12.13
2004,2,11.63
2004,3,11.76
2004,4,12.21
2004,5,9.47
2004,6,10.47
2004,7,9.81
2004,8,9.61
2004,9,8.72
2004,10,8.79
2004,11,8.21
2004,12,10.36
2005,1,9.73
2005,2,12.39
2005,3,13.04
2005,4,10.25
2005,5,9.46
2005,6,11.39
2005,7,8.64
2005,8,8.69
2005,9,10.97
2005,10,9.53
2005,11,12.25
2005,12,12.25
2006,1,9.9
2006,2,11.49
2006,3,11.1
2006,4,11.05
2006,5,10.26
2006,6,10.92
2006,7,9.19
2006,8,8.9
2006,9,10.51
2006,10,9.67
2006,11,11.42
2006,12,12.71
2007,1,12.84
2007,2,13.07
2007,3,9.7
2007,4,10.13
2007,5,9.68
2007,6,11.66
2007,7,9.26
2007,8,9.18
2007,9,10.53
2007,10,10.54
2007,11,10.22
2007,12,11.86
2008,1,9.93
2008,2,11.52
2008,3,13.26
2008,4,9.12
2008,5,13.41
2008,6,11.02
2008,7,13.16
2008,8,9.82
2008,9,10.58
2008,10,10.31
2008,11,10.68
2008,12,12
2009,1,11.99
2009,2,10.93
2009,3,9.79
2009,4,12.18
2009,5,11.9
2009,6,12.34
2009,7,8.64
2009,8,10.04
2009,9,12.09
2009,10,11.4
2009,11,10.63
2009,12,10.8
2010,1,9.82
2010,2,9.43
2010,3,10.18
2010,4,10.43
2010,5,9.37
2010,6,10.64
2010,7,11.78
2010,8,10.43
2010,9,12.27
2010,10,10.46
2010,11,11.6
2010,12,10.31
2011,1,11.23
2011,2,10.72
2011,3,11.92
2011,4,10.3
2011,5,10.2
2011,6,10.13
2011,7,10.17
2011,8,9.4
2011,9,9.45
2011,10,8.49
2011,11,11.7
2011,12,12.61
2012,1,10.47
2012,2,12.25
2012,3,9.52
2012,4,11.14
2012,5,11.69
2012,6,11.4
2012,7,10.06
2012,8,8.22
2012,9,11.21
2012,10,11.06
2012,11,8.75
2012,12,8.88
2013,1,9.5
2013,2,10.39
2013,3,12.48
2013,4,9.51
2013,5,8.38
2013,6,10.01
2013,7,10.69
2013,8,10.79
2013,9,8.11
2013,10,10.93
2013,11,9.89
2013,12,8.7
2014,1,11.6
2014,2,8.15
2014,3,10.64
2014,4,8.28
2014,5,8.58
2014,6,11.14
2014,7,8.5
2014,8,8.99
2014,9,11.08
2014,10,9.42
2014,11,10.98
2014,12,8.62
2015,1,11.42
2015,2,9.76
2015,3,8.34
2015,4,8.63
2015,5,7.66
2015,6,9.92
2015,7,9.55
2015,8,7.98
2015,9,9.6
2015,10,9.65
2015,11,10.88
2015,12,8.46
2016,1,10.93
2016,2,9.43
2016,3,9.26
2016,4,10.91
2016,5,7.35
2016,6,8.21
2016,7,8.47
2016,8,8.24
2016,9,9.45
2016,10,7.33
2016,11,9.46
2016,12,9.88
2017,1,8.39
2017,2,8.06
2017,3,7.43
2017,4,7.45
2017,5,9.38
2017,6,9.54
2017,7,8.5
2017,8,9.17
2017,9,9.32
2017,10,8.86
2017,11,6.93
2017,12,8.79
2018,1,8.3
2018,2,10.07
2018,3,8.93
2018,4,7.69
2018,5,9.06
2018,6,9.01
2018,7,9.59
2018,8,6.47
2018,9,6.31
2018,10,7
2018,11,9.77
2018,12,6.93
2019,1,6.9
2019,2,7.88
2019,3,10.15
2019,4,7.44
2019,5,7.05
2019,6,9.68
2019,7,8.39
2019,8,6.5
2019,9,5.99
2019,10,7.21
2019,11,5.83
2019,12,9.57
2020,1,7.93
2020,2,10.34
2020,3,8.77
2020,4,10.22
2020,5,7.73
2020,6,5.93
2020,7,8.02
2020,8,9.6
2020,9,7.71
2020,10,8.18
2020,11,5.84
2020,12,7.09
2021,1,9.7
2021,2,8.77
2021,3,6.59
2021,4,9.81
2021,5,8.51
2021,6,10.29
2021,7,5.21
2021,8,8.6
2021,9,5.85
2021,10,8.47
2021,11,8.16
2021,12,9.26
2022,1,9.23
2022,2,11.39
2022,3,9.48
2022,4,11.6
2022,5,11.38
2022,6,9.59
2022,7,9.05
2022,8,9.01
2022,9,11.17
2022,10,7.21
2022,11,8.41
2022,12,10.67
2023,1,8.36
2023,2,12.19
2023,3,9.4
2023,4,9.66
2023,5,7.39
2023,6,10.42
2023,7,10.4
2023,8,6.57
2023,9,9.57
2023,10,9.13
2023,11,7.88
2023,12,9.7
