Year,Month,Value
2000,1,2.98
2000,2,2.85
2000,3,3.32
2000,4,2.48
2000,5,2.44
2000,6,2.59
2000,7,1.97
2000,8,2.43
2000,9,2.12
2000,10,2.35
2000,11,2.25
2000,12,2.16
2001,1,2.73
2001,2,3.3
2001,3,3.5
2001,4,3.24
2001,5,2.92
2001,6,2.7
2001,7,3.12
2001,8,2.62
2001,9,2.87
2001,10,2.55
2001,11,2.86
2001,12,2.83
2002,1,3.74
2002,2,3.94
2002,3,4.06
2002,4,3.84
2002,5,3.61
2002,6,3.09
2002,7,3.51
2002,8,2.83
2002,9,2.75
2002,10,2.4
2002,11,2.73
2002,12,3.75
2003,1,3.51
2003,2,3.66
2003,3,4.42
2003,4,4.01
2003,5,3.46
2003,6,3.46
2003,7,2.9
2003,8,3.09
2003,9,3.11
2003,10,3.43
2003,11,3.62
2003,12,3.63
2004,1,3.94
2004,2,3.9
2004,3,4.78
2004,4,4.57
2004,5,4.2
2004,6,3.49
2004,7,3.89
2004,8,3.82
2004,9,3.65
2004,10,3.42
2004,11,3.84
2004,12,4.05
2005,1,4.8
2005,2,4.83
2005,3,5.03
2005,4,4.9
2005,5,4.54
2005,6,4.21
2005,7,4.23
2005,8,3.66
2005,9,3.39
2005,10,3.5
2005,11,4.02
2005,12,4.14
2006,1,4.75
2006,2,4.65
2006,3,4.77
2006,4,4.91
2006,5,5.01
2006,6,4.45
2006,7,3.81
2006,8,4.09
2006,9,3.6
2006,10,3.64
2006,11,3.92
2006,12,4.57
2007,1,4.4
2007,2,4.54
2007,3,5.27
2007,4,4.82
2007,5,5.05
2007,6,3.98
2007,7,4.09
2007,8,4.13
2007,9,4.03
2007,10,3.67
2007,11,4.51
2007,12,4.04
2008,1,4.64
2008,2,5.63
2008,3,4.65
2008,4,4.68
2008,5,4.06
2008,6,3.33
2008,7,4.27
2008,8,4.67
2008,9,4.91
2008,10,3.49
2008,11,4.34
2008,12,4.6
2009,1,4.75
2009,2,5.82
2009,3,5.65
2009,4,3.86
2009,5,4.07
2009,6,3.62
2009,7,5.22
2009,8,4
2009,9,4.48
2009,10,3.74
2009,11,3.58
2009,12,4
2010,1,4.41
2010,2,4.48
2010,3,5.09
2010,4,4.99
2010,5,4.54
2010,6,4.49
2010,7,4.43
2010,8,4.27
2010,9,3.54
2010,10,4.28
2010,11,3.91
2010,12,4.54
2011,1,4.43
2011,2,4.31
2011,3,4.97
2011,4,4.87
2011,5,4.75
2011,6,4.25
2011,7,4
2011,8,3.27
2011,9,3.79
2011,10,3.71
2011,11,3.53
2011,12,3.98
2012,1,4.2
2012,2,3.79
2012,3,4.4
2012,4,4.12
2012,5,3.64
2012,6,3.99
2012,7,3.7
2012,8,3.64
2012,9,3.4
2012,10,3.37
2012,11,4.07
2012,12,3.79
2013,1,3.45
2013,2,3.6
2013,3,4.35
2013,4,3.54
2013,5,3.91
2013,6,3.79
2013,7,3.58
2013,8,2.85
2013,9,3.11
2013,10,2.83
2013,11,3.66
2013,12,3.47
2014,1,3.56
2014,2,3.13
2014,3,3.75
2014,4,3.66
2014,5,3.63
2014,6,3.39
2014,7,2.61
2014,8,2.66
2014,9,2.62
2014,10,3.04
2014,11,2.75
2014,12,3
2015,1,3.13
2015,2,2.87
2015,3,3.41
2015,4,3.22
2015,5,3.23
2015,6,2.65
2015,7,2.41
2015,8,2.48
2015,9,1.93
2015,10,2.15
2015,11,2.21
2015,12,2.55
2016,1,2.36
2016,2,2.41
2016,3,3.3
2016,4,2.93
2016,5,2.93
2016,6,2.31
2016,7,2.55
2016,8,2.21
2016,9,2.25
2016,10,2.19
2016,11,2.37
2016,12,2.03
2017,1,1.84
2017,2,2.5
2017,3,1.99
2017,4,1.95
2017,5,2.73
2017,6,1.75
2017,7,1.49
2017,8,1.48
2017,9,1.57
2017,10,1.08
2017,11,1.73
2017,12,1.55
2018,1,1.47
2018,2,1.98
2018,3,2.1
2018,4,1.78
2018,5,1.85
2018,6,1.3
2018,7,0.93
2018,8,0.91
2018,9,0.95
2018,10,1.53
2018,11,1.15
2018,12,1.87
2019,1,1.37
2019,2,1.73
2019,3,2.22
2019,4,1.67
2019,5,1.29
2019,6,1.74
2019,7,1.4
2019,8,0.41
2019,9,0.67
2019,10,0.97
2019,11,1.33
2019,12,1.47
2020,1,2.73
2020,2,1.59
2020,3,1.97
2020,4,2.69
2020,5,1.82
2020,6,2.41
2020,7,0.88
2020,8,1.28
2020,9,1.89
2020,10,2.37
2020,11,1.69
2020,12,1.27
2021,1,2.12
2021,2,2.59
2021,3,2.29
2021,4,0.99
2021,5,1.7
2021,6,1.01
2021,7,1.85
2021,8,1.35
2021,9,0.26
2021,10,1.9
2021,11,1.75
2021,12,0.85
2022,1,2.64
2022,2,2.15
2022,3,3.34
2022,4,2.84
2022,5,4.09
2022,6,3.91
2022,7,2.07
2022,8,3.64
2022,9,1.24
2022,10,3.51
2022,11,0.96
2022,12,3.29
2023,1,2.67
2023,2,3.5
2023,3,2.9
2023,4,3.16
2023,5,3.04
2023,6,2.82
2023,7,2.81
2023,8,2.84
2023,9,1.25
2023,10,3.13
2023,11,2.84
2023,12,1.47
