Year,Month,Value
2000,1,5.08
2000,2,5.09
2000,3,5.21
2000,4,5.49
2000,5,4.74
2000,6,5.29
2000,7,5.18
2000,8,4.61
2000,9,3.68
2000,10,5
2000,11,4.73
2000,12,4.68
2001,1,5.69
2001,2,5.03
2001,3,6.53
2001,4,5.95
2001,5,4.89
2001,6,5.7
2001,7,5.11
2001,8,4.2
2001,9,5.29
2001,10,4.61
2001,11,4.4
2001,12,5.45
2002,1,6.18
2002,2,7.11
2002,3,5.48
2002,4,5.36
2002,5,5.44
2002,6,4.91
2002,7,5.97
2002,8,5.91
2002,9,5.81
2002,10,5.01
2002,11,4.91
2002,12,5.46
2003,1,5.64
2003,2,7.41
2003,3,6.76
2003,4,7.04
2003,5,7.1
2003,6,6.77
2003,7,5.27
2003,8,6.49
2003,9,6.5
2003,10,4.9
2003,11,5.33
2003,12,6.39
2004,1,7.05
2004,2,6.95
2004,3,7.34
2004,4,6.2
2004,5,7.2
2004,6,6.92
2004,7,5.63
2004,8,6.72
2004,9,5.82
2004,10,5.63
2004,11,5.66
2004,12,7.24
2005,1,6.28
2005,2,7.62
2005,3,7.51
2005,4,7.54
2005,5,6.67
2005,6,6.96
2005,7,6.97
2005,8,5.7
2005,9,5.41
2005,10,6.93
2005,11,6.22
2005,12,6.28
2006,1,6.65
2006,2,6.52
2006,3,7.33
2006,4,7.63
2006,5,6.77
2006,6,7.49
2006,7,6.08
2006,8,6.24
2006,9,5.96
2006,10,5.87
2006,11,5.8
2006,12,5.98
2007,1,7.83
2007,2,7.35
2007,3,8.01
2007,4,7.96
2007,5,8.09
2007,6,6.24
2007,7,6.31
2007,8,6.92
2007,9,7.36
2007,10,7.38
2007,11,6.53
2007,12,7.24
2008,1,7.24
2008,2,9.15
2008,3,7.96
2008,4,7.46
2008,5,6.13
2008,6,5.63
2008,7,8.09
2008,8,7.46
2008,9,6.91
2008,10,6.95
2008,11,7.02
2008,12,6.07
2009,1,7.43
2009,2,7.29
2009,3,6.04
2009,4,7.17
2009,5,8.54
2009,6,7.37
2009,7,5.69
2009,8,6.65
2009,9,6.38
2009,10,7.23
2009,11,7.29
2009,12,7.38
2010,1,6.36
2010,2,6.55
2010,3,7.41
2010,4,7.29
2010,5,6.63
2010,6,6.22
2010,7,6.06
2010,8,6.88
2010,9,6.17
2010,10,6.94
2010,11,6.3
2010,12,7.53
2011,1,7.17
2011,2,6.94
2011,3,7.1
2011,4,6.58
2011,5,6.15
2011,6,5.86
2011,7,6.55
2011,8,5.65
2011,9,6.83
2011,10,6.71
2011,11,6.51
2011,12,6.57
2012,1,6.37
2012,2,6.89
2012,3,6.62
2012,4,6.59
2012,5,6.04
2012,6,6.16
2012,7,5.23
2012,8,5.1
2012,9,6.68
2012,10,5.66
2012,11,6.49
2012,12,6.58
2013,1,5.79
2013,2,6.56
2013,3,6.31
2013,4,7
2013,5,5.55
2013,6,5.61
2013,7,6.14
2013,8,6.41
2013,9,4.91
2013,10,5.99
2013,11,6.25
2013,12,5.94
2014,1,6.13
2014,2,5.55
2014,3,5.35
2014,4,5.75
2014,5,6.09
2014,6,5.9
2014,7,4.98
2014,8,5.47
2014,9,5.2
2014,10,5.17
2014,11,4.88
2014,12,5.03
2015,1,4.76
2015,2,5.89
2015,3,6.27
2015,4,5.38
2015,5,5.25
2015,6,5.77
2015,7,5.81
2015,8,4.38
2015,9,5.67
2015,10,5.32
2015,11,4.83
2015,12,5.5
2016,1,5.76
2016,2,5.95
2016,3,5.14
2016,4,4.57
2016,5,5.27
2016,6,5.52
2016,7,5.46
2016,8,4.1
2016,9,4.51
2016,10,4.74
2016,11,5.44
2016,12,4.81
2017,1,5.16
2017,2,4.59
2017,3,5.81
2017,4,5.25
2017,5,4.71
2017,6,4.53
2017,7,3.72
2017,8,4.03
2017,9,3.1
2017,10,4.2
2017,11,4.8
2017,12,4.87
2018,1,3.68
2018,2,4.8
2018,3,4.51
2018,4,5.16
2018,5,4.47
2018,6,4.95
2018,7,3.74
2018,8,3.03
2018,9,3.28
2018,10,3.11
2018,11,3.14
2018,12,3.67
2019,1,3.74
2019,2,4.23
2019,3,4.46
2019,4,4.56
2019,5,3.14
2019,6,4.39
2019,7,4.13
2019,8,3.58
2019,9,3.15
2019,10,3.49
2019,11,3.47
2019,12,3.84
2020,1,4.06
2020,2,3.89
2020,3,4.81
2020,4,5.8
2020,5,3.37
2020,6,3.29
2020,7,4.77
2020,8,3.87
2020,9,3.08
2020,10,4.89
2020,11,2.48
2020,12,4.41
2021,1,4.58
2021,2,4.71
2021,3,3.57
2021,4,5.5
2021,5,2.91
2021,6,3.95
2021,7,2.95
2021,8,3.42
2021,9,4.72
2021,10,4.08
2021,11,2.73
2021,12,3.37
2022,1,6.75
2022,2,7.09
2022,3,4.79
2022,4,5.43
2022,5,5.84
2022,6,6.92
2022,7,3.86
2022,8,5.04
2022,9,4.67
2022,10,5.91
2022,11,5.19
2022,12,3.74
2023,1,5.03
2023,2,4.13
2023,3,5.92
2023,4,5.89
2023,5,6.7
2023,6,6.23
2023,7,4.75
2023,8,3.96
2023,9,5.1
2023,10,4.97
2023,11,5.74
2023,12,5.73
