Year,Month,Value
2000,1,2.65
2000,2,2.19
2000,3,3.01
2000,4,2.37
2000,5,2.48
2000,6,2.61
2000,7,2.01
2000,8,1.36
2000,9,2.04
2000,10,1.84
2000,11,2.38
2000,12,1.98
2001,1,2.61
2001,2,2.91
2001,3,2.9
2001,4,3.28
2001,5,2.35
2001,6,2.68
2001,7,2.58
2001,8,1.93
2001,9,2.33
2001,10,1.61
2001,11,2.05
2001,12,2.81
2002,1,2.73
2002,2,3.82
2002,3,3.58
2002,4,3.29
2002,5,3.49
2002,6,3.31
2002,7,2.44
2002,8,2.99
2002,9,2.69
2002,10,1.98
2002,11,2.32
2002,12,2.49
2003,1,3.6
2003,2,3.77
2003,3,3.23
2003,4,4.09
2003,5,3.87
2003,6,3.28
2003,7,3.18
2003,8,3.26
2003,9,2.79
2003,10,3.4
2003,11,2.83
2003,12,3.55
2004,1,4.37
2004,2,4.36
2004,3,4.48
2004,4,3.98
2004,5,3.62
2004,6,3.35
2004,7,3.88
2004,8,3.14
2004,9,3.24
2004,10,3.71
2004,11,3.2
2004,12,3.32
2005,1,4.09
2005,2,3.96
2005,3,4.86
2005,4,4.01
2005,5,3.58
2005,6,3.68
2005,7,3.84
2005,8,2.9
2005,9,3.36
2005,10,3.74
2005,11,3.1
2005,12,3.54
2006,1,4.2
2006,2,4.75
2006,3,4.23
2006,4,4.81
2006,5,4.76
2006,6,4.26
2006,7,3.61
2006,8,3.38
2006,9,3.2
2006,10,4.15
2006,11,3.29
2006,12,3.91
2007,1,4.37
2007,2,4.58
2007,3,4.1
2007,4,5.05
2007,5,4.93
2007,6,4.39
2007,7,4.12
2007,8,3.8
2007,9,3.49
2007,10,3.67
2007,11,3.53
2007,12,4.36
2008,1,5.64
2008,2,5.07
2008,3,5.71
2008,4,5.52
2008,5,4.08
2008,6,4.53
2008,7,4.36
2008,8,4.94
2008,9,3.91
2008,10,4.36
2008,11,4.63
2008,12,5.36
2009,1,3.27
2009,2,4.71
2009,3,4.47
2009,4,6.06
2009,5,4.46
2009,6,3.28
2009,7,2.82
2009,8,3.88
2009,9,4.48
2009,10,3.09
2009,11,3.15
2009,12,5.5
2010,1,4.18
2010,2,3.93
2010,3,4.99
2010,4,4.12
2010,5,4
2010,6,3.82
2010,7,3.98
2010,8,3.26
2010,9,3.4
2010,10,4.16
2010,11,4.24
2010,12,3.51
2011,1,4
2011,2,4.82
2011,3,3.91
2011,4,4.69
2011,5,3.78
2011,6,4.14
2011,7,3.41
2011,8,3.73
2011,9,3.48
2011,10,2.9
2011,11,3.12
2011,12,3.33
2012,1,3.41
2012,2,4.04
2012,3,4.49
2012,4,4.01
2012,5,3.87
2012,6,3.84
2012,7,2.78
2012,8,3.32
2012,9,3.52
2012,10,3.35
2012,11,2.8
2012,12,3.4
2013,1,3.45
2013,2,3.94
2013,3,4.2
2013,4,3.38
2013,5,3.95
2013,6,2.7
2013,7,3.49
2013,8,2.22
2013,9,2.25
2013,10,2.56
2013,11,2.77
2013,12,2.82
2014,1,2.88
2014,2,3.23
2014,3,3.29
2014,4,3.24
2014,5,2.55
2014,6,3.21
2014,7,2.24
2014,8,2.17
2014,9,2.97
2014,10,1.88
2014,11,2.39
2014,12,3
2015,1,3.01
2015,2,2.44
2015,3,3.51
2015,4,2.59
2015,5,2.6
2015,6,2.65
2015,7,2.56
2015,8,2.44
2015,9,1.78
2015,10,1.49
2015,11,2.03
2015,12,3.08
2016,1,1.92
2016,2,2.44
2016,3,2.26
2016,4,2.55
2016,5,2.32
2016,6,1.54
2016,7,1.33
2016,8,1.28
2016,9,1.89
2016,10,1.5
2016,11,1.5
2016,12,1.82
2017,1,2.16
2017,2,1.57
2017,3,2.68
2017,4,1.64
2017,5,1.93
2017,6,1.13
2017,7,1.84
2017,8,0.87
2017,9,1.54
2017,10,1.71
2017,11,1.01
2017,12,1.1
2018,1,1.51
2018,2,1.68
2018,3,1.78
2018,4,1.56
2018,5,1.37
2018,6,1.67
2018,7,0.86
2018,8,0.69
2018,9,1.41
2018,10,1.05
2018,11,0.94
2018,12,0.99
2019,1,0.87
2019,2,1.74
2019,3,2.05
2019,4,0.93
2019,5,1.21
2019,6,0.86
2019,7,0.34
2019,8,0.55
2019,9,0.1
2019,10,0.4
2019,11,0.83
2019,12,1.56
2020,1,1.6
2020,2,1.76
2020,3,2.21
2020,4,1.06
2020,5,1.06
2020,6,1.56
2020,7,1.22
2020,8,1.15
2020,9,0.1
2020,10,1.32
2020,11,0.86
2020,12,1.47
2021,1,1.45
2021,2,1.26
2021,3,0.9
2021,4,1.55
2021,5,2.22
2021,6,0.56
2021,7,2.02
2021,8,0.99
2021,9,0.95
2021,10,0.1
2021,11,0.92
2021,12,2.39
2022,1,2.66
2022,2,2.77
2022,3,1.68
2022,4,2.59
2022,5,4.6
2022,6,2.51
2022,7,2.12
2022,8,1.79
2022,9,2.11
2022,10,1.63
2022,11,2.95
2022,12,2.02
2023,1,4.82
2023,2,2.73
2023,3,1.44
2023,4,3.16
2023,5,3.68
2023,6,2.24
2023,7,1.91
2023,8,2.23
2023,9,0.36
2023,10,3.64
2023,11,3.48
2023,12,3.13
