Year,Month,Value
2000,1,0.42
2000,2,1.24
2000,3,1.36
2000,4,0.86
2000,5,0.88
2000,6,0.59
2000,7,0.56
2000,8,0.35
2000,9,0.19
2000,10,0.1
2000,11,0.1
2000,12,0.59
2001,1,1.5
2001,2,1.44
2001,3,1.48
2001,4,1.15
2001,5,1.24
2001,6,1.2
2001,7,0.58
2001,8,0.58
2001,9,0.75
2001,10,0.34
2001,11,1.01
2001,12,1.24
2002,1,1.62
2002,2,2.09
2002,3,2.1
2002,4,1.47
2002,5,1.63
2002,6,1.57
2002,7,1
2002,8,0.48
2002,9,0.99
2002,10,0.91
2002,11,0.72
2002,12,0.96
2003,1,1.63
2003,2,2.45
2003,3,2.04
2003,4,2.42
2003,5,1.54
2003,6,1.23
2003,7,1.64
2003,8,1.1
2003,9,1.35
2003,10,1.12
2003,11,1.44
2003,12,1.59
2004,1,2.09
2004,2,2.07
2004,3,2.62
2004,4,2.24
2004,5,1.93
2004,6,1.94
2004,7,1.63
2004,8,1.8
2004,9,1.23
2004,10,1.46
2004,11,1.84
2004,12,1.98
2005,1,2.04
2005,2,2.41
2005,3,2.68
2005,4,2.26
2005,5,2.21
2005,6,2.56
2005,7,2.31
2005,8,2.05
2005,9,1.91
2005,10,1.48
2005,11,1.8
2005,12,2.38
2006,1,2.59
2006,2,2.95
2006,3,3.02
2006,4,2.47
2006,5,2.79
2006,6,2.24
2006,7,2.02
2006,8,2.18
2006,9,1.96
2006,10,2.33
2006,11,1.81
2006,12,2.41
2007,1,3.05
2007,2,2.82
2007,3,2.65
2007,4,3.08
2007,5,2.92
2007,6,2.42
2007,7,1.91
2007,8,2.23
2007,9,1.95
2007,10,1.95
2007,11,1.87
2007,12,2.61
2008,1,2.88
2008,2,2.88
2008,3,2.9
2008,4,3.51
2008,5,3.35
2008,6,3.57
2008,7,2.49
2008,8,3.03
2008,9,1.87
2008,10,1.34
2008,11,2.42
2008,12,2.59
2009,1,1.51
2009,2,2.33
2009,3,2.07
2009,4,2.97
2009,5,1.73
2009,6,1.69
2009,7,2.1
2009,8,1.78
2009,9,1.54
2009,10,2.92
2009,11,1.15
2009,12,2.08
2010,1,2.5
2010,2,2.55
2010,3,3.15
2010,4,3.1
2010,5,2.32
2010,6,2.27
2010,7,1.8
2010,8,2.2
2010,9,2.05
2010,10,1.63
2010,11,1.76
2010,12,2.05
2011,1,2.56
2011,2,2.34
2011,3,2.83
2011,4,2.39
2011,5,2.54
2011,6,2.24
2011,7,2.06
2011,8,1.92
2011,9,2.01
2011,10,1.65
2011,11,1.94
2011,12,1.99
2012,1,1.81
2012,2,2.63
2012,3,2.74
2012,4,2.3
2012,5,1.76
2012,6,1.6
2012,7,1.98
2012,8,1.41
2012,9,1.42
2012,10,1.2
2012,11,1.23
2012,12,2.1
2013,1,1.68
2013,2,1.95
2013,3,2.12
2013,4,1.57
2013,5,1.81
2013,6,1.8
2013,7,1.54
2013,8,1.11
2013,9,0.99
2013,10,1.36
2013,11,1.48
2013,12,1.93
2014,1,1.05
2014,2,1.63
2014,3,1.61
2014,4,1.88
2014,5,1.76
2014,6,1.49
2014,7,1.03
2014,8,0.45
2014,9,0.89
2014,10,0.9
2014,11,0.89
2014,12,0.84
2015,1,0.86
2015,2,1.45
2015,3,0.98
2015,4,1.44
2015,5,0.79
2015,6,0.63
2015,7,0.73
2015,8,0.36
2015,9,0.16
2015,10,0.49
2015,11,0.66
2015,12,0.77
2016,1,0.37
2016,2,0.83
2016,3,0.6
2016,4,1.02
2016,5,0.58
2016,6,0.78
2016,7,0.1
2016,8,0.1
2016,9,0.2
2016,10,0.1
2016,11,0.1
2016,12,0.52
2017,1,0.1
2017,2,0.1
2017,3,0.16
2017,4,0.16
2017,5,0.1
2017,6,0.1
2017,7,0.1
2017,8,0.1
2017,9,0.1
2017,10,0.1
2017,11,0.1
2017,12,0.18
2018,1,0.13
2018,2,0.29
2018,3,0.1
2018,4,0.15
2018,5,0.16
2018,6,0.1
2018,7,0.1
2018,8,0.1
2018,9,0.1
2018,10,0.1
2018,11,0.1
2018,12,0.1
2019,1,0.1
2019,2,0.1
2019,3,0.11
2019,4,0.1
2019,5,0.1
2019,6,0.1
2019,7,0.1
2019,8,0.1
2019,9,0.1
2019,10,0.1
2019,11,0.1
2019,12,0.1
2020,1,0.1
2020,2,0.48
2020,3,0.1
2020,4,0.28
2020,5,0.1
2020,6,0.1
2020,7,0.1
2020,8,0.1
2020,9,0.1
2020,10,0.1
2020,11,0.1
2020,12,0.1
2021,1,0.1
2021,2,0.74
2021,3,0.1
2021,4,0.69
2021,5,0.1
2021,6,0.1
2021,7,0.1
2021,8,0.1
2021,9,0.1
2021,10,0.1
2021,11,0.1
2021,12,0.1
2022,1,2.56
2022,2,1
2022,3,0.87
2022,4,2.62
2022,5,1.35
2022,6,0.64
2022,7,0.1
2022,8,1.24
2022,9,0.61
2022,10,0.1
2022,11,0.58
2022,12,0.1
2023,1,1.04
2023,2,2.34
2023,3,0.85
2023,4,3.12
2023,5,1.74
2023,6,1.86
2023,7,2.12
2023,8,2.24
2023,9,0.42
2023,10,0.1
2023,11,0.43
2023,12,0.1
