Year,Month,Value
2000,1,1.94
2000,2,2.49
2000,3,2.99
2000,4,2.66
2000,5,2.63
2000,6,1.8
2000,7,1.79
2000,8,2.31
2000,9,1.96
2000,10,1.98
2000,11,1.96
2000,12,2.01
2001,1,2.68
2001,2,2.82
2001,3,3.18
2001,4,2.5
2001,5,2.62
2001,6,2.83
2001,7,2.25
2001,8,1.97
2001,9,1.71
2001,10,1.66
2001,11,2.79
2001,12,2.38
2002,1,3.12
2002,2,3.32
2002,3,3.41
2002,4,3.36
2002,5,3.36
2002,6,3.37
2002,7,2.6
2002,8,2.06
2002,9,2.2
2002,10,2.39
2002,11,2.81
2002,12,3.26
2003,1,3.6
2003,2,3.91
2003,3,4.03
2003,4,3.91
2003,5,3.26
2003,6,3.13
2003,7,3.47
2003,8,3.2
2003,9,3.23
2003,10,3.09
2003,11,3.44
2003,12,2.79
2004,1,3.37
2004,2,4.61
2004,3,3.8
2004,4,4.13
2004,5,3.86
2004,6,4.02
2004,7,3.08
2004,8,3.27
2004,9,3.68
2004,10,2.93
2004,11,2.97
2004,12,3.39
2005,1,4.26
2005,2,4.31
2005,3,4.15
2005,4,4.19
2005,5,3.71
2005,6,3.9
2005,7,3.21
2005,8,3.73
2005,9,3.17
2005,10,2.93
2005,11,4.08
2005,12,4.04
2006,1,4.57
2006,2,4.73
2006,3,4.55
2006,4,4.91
2006,5,3.77
2006,6,3.96
2006,7,3.67
2006,8,3.1
2006,9,4.03
2006,10,3.55
2006,11,3.42
2006,12,4.28
2007,1,4.81
2007,2,4.63
2007,3,4.58
2007,4,4.42
2007,5,4.58
2007,6,4.48
2007,7,3.76
2007,8,3.56
2007,9,3.39
2007,10,4.11
2007,11,3.64
2007,12,4.44
2008,1,4.8
2008,2,5.02
2008,3,5.33
2008,4,3.95
2008,5,4.86
2008,6,5.07
2008,7,3.56
2008,8,3.09
2008,9,2.82
2008,10,3.03
2008,11,3.71
2008,12,3.87
2009,1,3.76
2009,2,5.32
2009,3,4.28
2009,4,5.95
2009,5,3.39
2009,6,4.15
2009,7,3.85
2009,8,3.32
2009,9,3.02
2009,10,4.96
2009,11,3.53
2009,12,4.1
2010,1,4.8
2010,2,4.36
2010,3,4.11
2010,4,4.81
2010,5,4.19
2010,6,4.17
2010,7,3.3
2010,8,3.98
2010,9,3.69
2010,10,3.25
2010,11,3.79
2010,12,4.04
2011,1,4.34
2011,2,3.89
2011,3,4.64
2011,4,4.72
2011,5,4.29
2011,6,4.36
2011,7,3.39
2011,8,3.23
2011,9,3.35
2011,10,3.07
2011,11,3.59
2011,12,3.78
2012,1,3.84
2012,2,3.53
2012,3,3.65
2012,4,4.22
2012,5,3.52
2012,6,3.63
2012,7,2.75
2012,8,2.96
2012,9,3.11
2012,10,3.19
2012,11,3.09
2012,12,4.01
2013,1,4
2013,2,3.21
2013,3,3.59
2013,4,3.47
2013,5,3.12
2013,6,3.05
2013,7,3.52
2013,8,3.16
2013,9,3.23
2013,10,3.34
2013,11,3.25
2013,12,3.22
2014,1,2.82
2014,2,3.69
2014,3,3
2014,4,3.18
2014,5,3.6
2014,6,2.32
2014,7,2.99
2014,8,1.9
2014,9,2.64
2014,10,2.52
2014,11,2.78
2014,12,2.4
2015,1,2.99
2015,2,2.6
2015,3,2.87
2015,4,2.69
2015,5,2.78
2015,6,2.13
2015,7,2.14
2015,8,2.56
2015,9,1.73
2015,10,1.67
2015,11,2.16
2015,12,2.27
2016,1,2.62
2016,2,2.66
2016,3,2.59
2016,4,2.03
2016,5,2.78
2016,6,1.69
2016,7,1.5
2016,8,1.29
2016,9,1.51
2016,10,1.85
2016,11,1.39
2016,12,1.57
2017,1,1.87
2017,2,2.39
2017,3,2.43
2017,4,2.22
2017,5,2.31
2017,6,1.51
2017,7,1.56
2017,8,0.95
2017,9,0.94
2017,10,1.18
2017,11,0.97
2017,12,1.98
2018,1,1.7
2018,2,2.29
2018,3,1.51
2018,4,1.64
2018,5,1.69
2018,6,1.65
2018,7,1.09
2018,8,0.47
2018,9,0.39
2018,10,1.04
2018,11,0.75
2018,12,1.82
2019,1,1.49
2019,2,1.46
2019,3,1.44
2019,4,1.63
2019,5,1.66
2019,6,0.52
2019,7,0.92
2019,8,0.33
2019,9,0.68
2019,10,1.01
2019,11,1.02
2019,12,0.66
2020,1,1.02
2020,2,1.6
2020,3,1.8
2020,4,2.88
2020,5,2.22
2020,6,0.84
2020,7,0.6
2020,8,1.48
2020,9,1.85
2020,10,1.51
2020,11,0.92
2020,12,0.89
2021,1,1.74
2021,2,2.09
2021,3,1.59
2021,4,2.18
2021,5,1.04
2021,6,1.22
2021,7,0.86
2021,8,0.9
2021,9,0.1
2021,10,1.64
2021,11,0.89
2021,12,1.31
2022,1,4.18
2022,2,1.41
2022,3,3.06
2022,4,1.88
2022,5,2.28
2022,6,2.64
2022,7,3.43
2022,8,1.93
2022,9,2.27
2022,10,1.67
2022,11,2.34
2022,12,4.39
2023,1,4.13
2023,2,4.83
2023,3,3.56
2023,4,2.71
2023,5,3.79
2023,6,2.61
2023,7,3.97
2023,8,1.43
2023,9,2.83
2023,10,3.51
2023,11,2.62
2023,12,3.11
