Year,Month,Value
2000,1,2.05
2000,2,1.55
2000,3,2.04
2000,4,1.99
2000,5,2.02
2000,6,1.6
2000,7,1.1
2000,8,1.23
2000,9,0.78
2000,10,0.67
2000,11,1.34
2000,12,1.71
2001,1,1.83
2001,2,2.22
2001,3,2.24
2001,4,2.23
2001,5,2.3
2001,6,1.56
2001,7,1.6
2001,8,1.27
2001,9,1.42
2001,10,1.66
2001,11,1.49
2001,12,2.25
2002,1,2.85
2002,2,2.97
2002,3,2.57
2002,4,2.61
2002,5,2.36
2002,6,1.91
2002,7,2.07
2002,8,2.17
2002,9,1.84
2002,10,1.84
2002,11,1.86
2002,12,2.05
2003,1,2.51
2003,2,2.81
2003,3,3.03
2003,4,3.31
2003,5,3.02
2003,6,2.33
2003,7,2.53
2003,8,1.99
2003,9,1.99
2003,10,2.5
2003,11,2.76
2003,12,2.8
2004,1,2.79
2004,2,3.6
2004,3,3.6
2004,4,3.5
2004,5,3.16
2004,6,2.99
2004,7,2.71
2004,8,2.24
2004,9,2.36
2004,10,2.31
2004,11,2.71
2004,12,2.66
2005,1,3.15
2005,2,3.56
2005,3,3.48
2005,4,3.49
2005,5,3.64
2005,6,3.08
2005,7,3.29
2005,8,2.68
2005,9,2.43
2005,10,3.09
2005,11,3.15
2005,12,3.14
2006,1,3.93
2006,2,4.16
2006,3,3.81
2006,4,3.89
2006,5,3.68
2006,6,3.5
2006,7,2.89
2006,8,2.64
2006,9,2.95
2006,10,2.61
2006,11,3.21
2006,12,3.59
2007,1,3.68
2007,2,3.83
2007,3,4.16
2007,4,4.13
2007,5,3.68
2007,6,3.56
2007,7,3.34
2007,8,2.84
2007,9,3.29
2007,10,3.34
2007,11,2.9
2007,12,3.8
2008,1,3.31
2008,2,3.91
2008,3,5
2008,4,3.72
2008,5,4.98
2008,6,3.68
2008,7,3.83
2008,8,2.18
2008,9,2.55
2008,10,4.09
2008,11,2.96
2008,12,4.33
2009,1,2.66
2009,2,3.08
2009,3,4.15
2009,4,4.67
2009,5,4.69
2009,6,3.17
2009,7,2.22
2009,8,3.86
2009,9,3.93
2009,10,2.92
2009,11,2.58
2009,12,4.71
2010,1,3.68
2010,2,3.44
2010,3,4.06
2010,4,3.48
2010,5,3.26
2010,6,3.37
2010,7,3.27
2010,8,3.07
2010,9,2.65
2010,10,2.6
2010,11,2.99
2010,12,3.03
2011,1,3.26
2011,2,3.32
2011,3,3.74
2011,4,3.37
2011,5,3.11
2011,6,3.41
2011,7,3.06
2011,8,3.07
2011,9,2.59
2011,10,2.49
2011,11,2.62
2011,12,3.43
2012,1,3.05
2012,2,3.66
2012,3,3.37
2012,4,3.49
2012,5,3.26
2012,6,3.09
2012,7,2.74
2012,8,2.24
2012,9,2.6
2012,10,2.02
2012,11,2.96
2012,12,2.8
2013,1,2.89
2013,2,3.31
2013,3,3.37
2013,4,3.32
2013,5,2.86
2013,6,2.81
2013,7,1.94
2013,8,2.4
2013,9,2.34
2013,10,2.44
2013,11,1.99
2013,12,2.51
2014,1,2.7
2014,2,2.26
2014,3,3.05
2014,4,2.39
2014,5,2.73
2014,6,1.91
2014,7,2.14
2014,8,1.36
2014,9,1.88
2014,10,1.95
2014,11,1.91
2014,12,1.93
2015,1,2.1
2015,2,2.02
2015,3,2.68
2015,4,1.98
2015,5,2.12
2015,6,1.62
2015,7,1.84
2015,8,1.3
2015,9,1.64
2015,10,1.52
2015,11,1.46
2015,12,2.02
2016,1,1.67
2016,2,1.76
2016,3,2.1
2016,4,1.72
2016,5,1.54
2016,6,1.53
2016,7,1.05
2016,8,1.18
2016,9,0.74
2016,10,0.98
2016,11,1.2
2016,12,1.33
2017,1,0.9
2017,2,1.44
2017,3,1.6
2017,4,1.55
2017,5,1.23
2017,6,1.29
2017,7,1.08
2017,8,0.36
2017,9,0.66
2017,10,0.78
2017,11,0.54
2017,12,1.18
2018,1,0.5
2018,2,0.86
2018,3,0.86
2018,4,1.19
2018,5,0.93
2018,6,0.53
2018,7,0.75
2018,8,0.23
2018,9,0.1
2018,10,0.1
2018,11,0.18
2018,12,0.26
2019,1,0.33
2019,2,0.83
2019,3,0.89
2019,4,0.64
2019,5,0.68
2019,6,0.49
2019,7,0.1
2019,8,0.1
2019,9,0.1
2019,10,0.1
2019,11,0.1
2019,12,0.1
2020,1,1.36
2020,2,1.15
2020,3,0.54
2020,4,0.64
2020,5,1.35
2020,6,0.76
2020,7,0.59
2020,8,0.1
2020,9,0.76
2020,10,1.02
2020,11,0.31
2020,12,0.4
2021,1,0.73
2021,2,1.1
2021,3,0.23
2021,4,1.26
2021,5,0.1
2021,6,1.29
2021,7,0.1
2021,8,0.35
2021,9,0.65
2021,10,0.1
2021,11,0.22
2021,12,0.78
2022,1,2.36
2022,2,3.8
2022,3,2
2022,4,3.68
2022,5,1.78
2022,6,1.16
2022,7,2.17
2022,8,2.45
2022,9,0.1
2022,10,0.34
2022,11,2.93
2022,12,3.26
2023,1,2.67
2023,2,1.69
2023,3,1.32
2023,4,1.41
2023,5,3.79
2023,6,2.91
2023,7,0.1
2023,8,2.58
2023,9,0.98
2023,10,1.15
2023,11,2.28
2023,12,3.51
