Year,Month,Value
2000,1,1.95
2000,2,3.23
2000,3,2.5
2000,4,2.71
2000,5,2.83
2000,6,2.29
2000,7,1.42
2000,8,2.58
2000,9,1.43
2000,10,1.59
2000,11,3.24
2000,12,2.66
2001,1,3.65
2001,2,3.69
2001,3,4.38
2001,4,2.68
2001,5,3.33
2001,6,3.27
2001,7,3.62
2001,8,1.83
2001,9,3.37
2001,10,2.7
2001,11,1.76
2001,12,2.32
2002,1,3.4
2002,2,4.7
2002,3,4.32
2002,4,3.88
2002,5,4.09
2002,6,3.75
2002,7,3.41
2002,8,2.73
2002,9,2.57
2002,10,2.09
2002,11,2.65
2002,12,3.92
2003,1,2.9
2003,2,4.14
2003,3,3.72
2003,4,3.75
2003,5,3.93
2003,6,2.76
2003,7,2.6
2003,8,3.35
2003,9,3.31
2003,10,4.06
2003,11,3.75
2003,12,3.84
2004,1,4.89
2004,2,5.26
2004,3,5.1
2004,4,4.21
2004,5,3.92
2004,6,3.15
2004,7,4.17
2004,8,3.52
2004,9,3.48
2004,10,3.23
2004,11,3.78
2004,12,4.2
2005,1,4.21
2005,2,5.21
2005,3,5.22
2005,4,3.7
2005,5,5.02
2005,6,4.63
2005,7,4.61
2005,8,2.78
2005,9,3.01
2005,10,4.47
2005,11,4.91
2005,12,4.29
2006,1,4.64
2006,2,4.91
2006,3,4.78
2006,4,4.36
2006,5,4.98
2006,6,4.4
2006,7,4.35
2006,8,4.24
2006,9,4.23
2006,10,2.97
2006,11,4.62
2006,12,4.23
2007,1,4.27
2007,2,5.24
2007,3,4.33
2007,4,5.5
2007,5,5.64
2007,6,4.07
2007,7,4.5
2007,8,4.84
2007,9,4.33
2007,10,3.55
2007,11,3.55
2007,12,5.34
2008,1,4.74
2008,2,5.7
2008,3,3.82
2008,4,6.15
2008,5,4.75
2008,6,5.04
2008,7,4.01
2008,8,4.24
2008,9,2.19
2008,10,4.32
2008,11,4.56
2008,12,5.18
2009,1,5.83
2009,2,5.55
2009,3,3.41
2009,4,5.15
2009,5,4.63
2009,6,4.75
2009,7,3.8
2009,8,3.51
2009,9,4.24
2009,10,4.48
2009,11,4.92
2009,12,4.25
2010,1,4.99
2010,2,5.47
2010,3,5.66
2010,4,4.1
2010,5,5.31
2010,6,3.94
2010,7,3.4
2010,8,2.89
2010,9,4.54
2010,10,4.57
2010,11,3.86
2010,12,4.81
2011,1,3.67
2011,2,5.17
2011,3,5.48
2011,4,4.25
2011,5,5.22
2011,6,4.6
2011,7,4.24
2011,8,4.35
2011,9,3.93
2011,10,4.48
2011,11,3.62
2011,12,3.5
2012,1,3.82
2012,2,3.5
2012,3,3.81
2012,4,4.8
2012,5,4.42
2012,6,3.4
2012,7,4.44
2012,8,3.07
2012,9,2.75
2012,10,4.05
2012,11,3.35
2012,12,4.4
2013,1,4.28
2013,2,3.55
2013,3,4.38
2013,4,4.58
2013,5,3.9
2013,6,3.18
2013,7,2.48
2013,8,2.12
2013,9,3.95
2013,10,2.4
2013,11,3.24
2013,12,3.69
2014,1,3.21
2014,2,3.9
2014,3,4.31
2014,4,2.88
2014,5,3
2014,6,2.62
2014,7,2.44
2014,8,2.49
2014,9,2.58
2014,10,2
2014,11,1.95
2014,12,3.02
2015,1,3.84
2015,2,2.33
2015,3,3.24
2015,4,3.89
2015,5,3.05
2015,6,3.4
2015,7,1.73
2015,8,2.22
2015,9,2.92
2015,10,1.67
2015,11,2.46
2015,12,3.73
2016,1,1.65
2016,2,2.93
2016,3,3.57
2016,4,2.47
2016,5,3.36
2016,6,2.85
2016,7,2.25
2016,8,1.59
2016,9,2.83
2016,10,1.73
2016,11,1.98
2016,12,1.83
2017,1,1.74
2017,2,3.06
2017,3,2.81
2017,4,2.34
2017,5,3.18
2017,6,2.87
2017,7,1.33
2017,8,1.76
2017,9,1.93
2017,10,0.59
2017,11,0.86
2017,12,1.89
2018,1,2.03
2018,2,2.55
2018,3,1.51
2018,4,1.73
2018,5,1.01
2018,6,0.97
2018,7,1.69
2018,8,0.49
2018,9,1.38
2018,10,1
2018,11,0.57
2018,12,2.07
2019,1,1.4
2019,2,1.95
2019,3,2.48
2019,4,2.61
2019,5,2.46
2019,6,0.39
2019,7,0.55
2019,8,1.55
2019,9,0.63
2019,10,1.57
2019,11,1.05
2019,12,2.19
2020,1,1.26
2020,2,1.52
2020,3,2.5
2020,4,1.53
2020,5,1.96
2020,6,2.25
2020,7,1.8
2020,8,0.5
2020,9,1.8
2020,10,1.86
2020,11,2.04
2020,12,2.15
2021,1,1.95
2021,2,1.36
2021,3,2
2021,4,1.45
2021,5,2.74
2021,6,1.91
2021,7,1.61
2021,8,0.37
2021,9,1.68
2021,10,0.81
2021,11,1.74
2021,12,1.02
2022,1,4.45
2022,2,4.71
2022,3,3.27
2022,4,2.88
2022,5,2.31
2022,6,2.76
2022,7,2.97
2022,8,1.64
2022,9,4.66
2022,10,0.61
2022,11,4.03
2022,12,4.59
2023,1,1.86
2023,2,1.87
2023,3,2.69
2023,4,2.39
2023,5,3.33
2023,6,4.24
2023,7,0.73
2023,8,2.34
2023,9,1.47
2023,10,1.82
2023,11,4.47
2023,12,3.11
