Year,Month,Value
2000,1,4.7
2000,2,4.5
2000,3,5.75
2000,4,4.45
2000,5,5.45
2000,6,4.79
2000,7,4.13
2000,8,4.38
2000,9,4.7
2000,10,4.19
2000,11,4.78
2000,12,3.91
2001,1,5.78
2001,2,5.85
2001,3,5.03
2001,4,5.25
2001,5,4.58
2001,6,4.89
2001,7,4.42
2001,8,4.29
2001,9,4.9
2001,10,5.06
2001,11,4.9
2001,12,4.79
2002,1,5.02
2002,2,6.11
2002,3,6.26
2002,4,6.01
2002,5,4.95
2002,6,5.28
2002,7,5.61
2002,8,4.88
2002,9,5.13
2002,10,4.21
2002,11,4.84
2002,12,4.66
2003,1,5.88
2003,2,6.26
2003,3,6.42
2003,4,5.48
2003,5,6.38
2003,6,5.18
2003,7,4.81
2003,8,5.84
2003,9,4.82
2003,10,5.63
2003,11,5.02
2003,12,4.96
2004,1,6.61
2004,2,6.23
2004,3,5.87
2004,4,6.76
2004,5,6.77
2004,6,5.7
2004,7,5.31
2004,8,5.2
2004,9,5.3
2004,10,5.98
2004,11,5.29
2004,12,5.44
2005,1,7.11
2005,2,7.01
2005,3,7.37
2005,4,5.94
2005,5,7.13
2005,6,5.96
2005,7,5.35
2005,8,5.13
2005,9,6.01
2005,10,5.28
2005,11,5.91
2005,12,6.58
2006,1,6.83
2006,2,6.7
2006,3,6.89
2006,4,6.57
2006,5,6.01
2006,6,5.99
2006,7,6.36
2006,8,5.99
2006,9,5.15
2006,10,6.57
2006,11,6.31
2006,12,6.26
2007,1,6.74
2007,2,6.82
2007,3,6.34
2007,4,7.27
2007,5,7.07
2007,6,7.22
2007,7,6.67
2007,8,6.3
2007,9,5.4
2007,10,5.61
2007,11,6.11
2007,12,6.78
2008,1,7.46
2008,2,8.47
2008,3,6.14
2008,4,6.56
2008,5,6.86
2008,6,7.56
2008,7,6.62
2008,8,5.3
2008,9,6.37
2008,10,5.57
2008,11,7.83
2008,12,6.84
2009,1,6.06
2009,2,5.48
2009,3,7.84
2009,4,8.15
2009,5,5.46
2009,6,6.81
2009,7,5.69
2009,8,6.53
2009,9,4.71
2009,10,6.33
2009,11,5.85
2009,12,7.14
2010,1,6.54
2010,2,7.18
2010,3,6.51
2010,4,6.93
2010,5,6.64
2010,6,6.44
2010,7,5.95
2010,8,6.37
2010,9,6.56
2010,10,5.39
2010,11,6.76
2010,12,5.66
2011,1,6.92
2011,2,5.97
2011,3,6.15
2011,4,6.55
2011,5,5.65
2011,6,5.69
2011,7,6
2011,8,6.15
2011,9,4.97
2011,10,4.95
2011,11,5.56
2011,12,5.86
2012,1,6.72
2012,2,5.86
2012,3,6.14
2012,4,6.58
2012,5,6.17
2012,6,5.82
2012,7,5.35
2012,8,6.15
2012,9,4.86
2012,10,5.36
2012,11,5.12
2012,12,6.09
2013,1,6.01
2013,2,6.42
2013,3,5.37
2013,4,5.52
2013,5,5.36
2013,6,5.82
2013,7,5.71
2013,8,5.7
2013,9,4.41
2013,10,4.71
2013,11,5.67
2013,12,5.07
2014,1,5.46
2014,2,4.94
2014,3,5.24
2014,4,4.92
2014,5,5.74
2014,6,5.59
2014,7,4.34
2014,8,5.06
2014,9,5.4
2014,10,4.34
2014,11,5.01
2014,12,5.82
2015,1,5.62
2015,2,5.77
2015,3,5.79
2015,4,5.84
2015,5,5.28
2015,6,5.34
2015,7,4.58
2015,8,4.6
2015,9,4.32
2015,10,4.19
2015,11,3.98
2015,12,4.62
2016,1,4.57
2016,2,4.21
2016,3,4.25
2016,4,5.33
2016,5,5.38
2016,6,4.12
2016,7,3.44
2016,8,3.35
2016,9,4.49
2016,10,4.17
2016,11,3.86
2016,12,3.89
2017,1,3.65
2017,2,5.03
2017,3,4.33
2017,4,4.89
2017,5,4.17
2017,6,4.09
2017,7,4.49
2017,8,3.7
2017,9,3.99
2017,10,4.12
2017,11,3.06
2017,12,3.4
2018,1,4.32
2018,2,4
2018,3,4.57
2018,4,4.74
2018,5,3.87
2018,6,3.38
2018,7,2.99
2018,8,2.54
2018,9,2.71
2018,10,3.67
2018,11,3.93
2018,12,4.08
2019,1,3.65
2019,2,3.08
2019,3,3.45
2019,4,3.44
2019,5,3.17
2019,6,3.9
2019,7,2.51
2019,8,3.26
2019,9,3.04
2019,10,3.42
2019,11,3.59
2019,12,2.68
2020,1,3.74
2020,2,4.24
2020,3,4.87
2020,4,3.48
2020,5,4.08
2020,6,4.9
2020,7,2.23
2020,8,3.08
2020,9,4.36
2020,10,3.33
2020,11,2.49
2020,12,4.67
2021,1,2.43
2021,2,4.53
2021,3,4.42
2021,4,4.55
2021,5,4.69
2021,6,3.25
2021,7,2.84
2021,8,3.82
2021,9,3.35
2021,10,3.84
2021,11,3.41
2021,12,3.54
2022,1,5.94
2022,2,6.83
2022,3,4.56
2022,4,3.51
2022,5,4.08
2022,6,3.94
2022,7,6.2
2022,8,5.64
2022,9,5.26
2022,10,3.89
2022,11,5.48
2022,12,4.96
2023,1,4.75
2023,2,5.7
2023,3,5.16
2023,4,7.18
2023,5,4.17
2023,6,5.02
2023,7,3.42
2023,8,4.21
2023,9,3.46
2023,10,3.03
2023,11,5.85
2023,12,3.86
